Episode,Date,Guests (Himself/Herself - Role)
1x01,2015-02-19,Susan Calman (Herself - Host);Dane Baptiste (Himself);Katherine Ryan (Herself);Aisling Bea (Herself);Elis James (Himself)
1x02,2015-02-26,Susan Calman (Herself - Host);Celia Pacquola (Herself);Joe Lycett (Himself);Lloyd Langford (Himself);Holly Walsh (Herself)
1x03,2015-03-05,Susan Calman (Herself - Host);Miles Jupp (Himself);Sara Cox (Herself);James Acaster (Himself);Jocelyn Jee Esien (Herself)
1x04,2015-03-12,Susan Calman (Herself - Host);Lucy Beaumont (Herself);Richard Herring (Himself);Alan Cochrane (Himself);Nat Luurtsema (Herself)
1x05,2015-03-19,Susan Calman (Herself - Host);Sarah Millican (Herself);Ricky Wilson (Himself);Roisin Conaty (Herself);Andrew O'Neill (Himself)
1x06,2015-03-26,Susan Calman (Herself - Host);Sara Cox (Herself);Elis James (Himself);Isy Suttie (Herself);Gary Delaney (Himself)
