Episode,Date,Guests (Himself/Herself - Role),References
3x01,2006-05-26,x2vmpjxi:Ulrika Jonsson (Herself);gc44eurf:Alan Carr (Himself);5nnrt4zy:Ruth Badger (Herself);pyqgtpx8:David Baddiel (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
3x02,2006-06-02,nn71jpyb:David Walliams (Himself);ce9aaz87:Debra Stephenson (Herself);m9jas0rx:Frankie Boyle (Himself);0rpzyncz:Mark 'Bez' Berry (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
3x03,2006-06-09,9b46vz01:Johnny Vegas (Himself);7lm338ce:Peter Serafinowicz (Himself);76pb75u2:Jayne Middlemiss (Herself);uk8mmmbl:Reginald D. Hunter (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
3x04,2006-06-16,f9aqgxfg:Sally Lindsay (Herself);vag73ro9:Dave Johns (Himself);2a1h4fcb:Julian Clary (Himself);xv8o8xgj:Edith Bowman (Herself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
3x05,2006-06-23,mbn8u12z:Louis Walsh (Himself);nn71jpyb:David Walliams (Himself);y4h3y6yc:Vic Reeves (Himself);r9njiv0i:Krishnan Guru-Murthy (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
3x06,2006-06-30,3vblg9jo:Jason Manford (Himself);sx5n2tkh:Phill Jupitus (Himself);bk2xi19y:Germaine Greer (Herself);wci88u74:Fiona Allen (Herself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
3x07,2006-07-07,2ycshwu5:Alex Zane (Himself);rr738hl8:Emo Philips (Himself);kg110cb6:Justin Moorhead (Himself);ejvlgb2l:Trisha Goddard (Herself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
3x08,2006-07-14,vssxz2dy:Holly Willoughby (Herself);z18vio1l:Joan Rivers (Herself);y4h3y6yc:Vic Reeves (Himself);29crsgwm:Eamonn Holmes (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
3x09,2006-08-18,lcbdwhrh:Grace Adams-Short (Herself);npoqlsmf:Lea Walker (Herself);3vblg9jo:Jason Manford (Himself);uuvdl6kj:Dom Joly (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
4x01,2006-10-20,3xla1274:Lee Mack (Himself);o7fyqsem:Rich Hall (Himself);7pkk9a9z:Nikki Grahame (Herself);qcn04i6k:Boy George (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
4x02,2006-10-27,nimfuofw:Piers Morgan (Himself);3vblg9jo:Jason Manford (Himself);sn5wg8yd:Kirsty Gallacher (Herself);k1zdzzda:Scott Capurro (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
4x03,2006-11-03,cgg5lqmj:Jonathan Ross (Himself);ejvlgb2l:Trisha Goddard (Herself);m9jas0rx:Frankie Boyle (Himself);du5xj8dc:Duncan Bannatyne (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
4x04,2006-11-10,mbn8u12z:Louis Walsh (Himself);tz9hsonw:Rhys Thomas (Himself);f9aqgxfg:Sally Lindsay (Herself);uk8mmmbl:Reginald D. Hunter (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
4x05,2006-11-17,9b46vz01:Johnny Vegas (Himself);l2q1tl1a:Michael McIntyre (Himself);x2vmpjxi:Ulrika Jonsson (Herself);r9njiv0i:Krishnan Guru-Murthy (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
4x06,2006-11-24,6jht67f1:Griff Rhys Jones (Himself);l57v7nvn:Bill Oddie (Himself);3xla1274:Lee Mack (Himself);wci88u74:Fiona Allen (Herself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
4x07,2006-12-01,y4h3y6yc:Vic Reeves (Himself);xc09sbqe:Jade Goody (Herself);c5gl5oce:John Barrowman (Himself);y9qap6t1:Chris Addison (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
4x08,2006-12-08,2ycshwu5:Alex Zane (Himself);z18vio1l:Joan Rivers (Herself);d5pakaaf:David Gest (Himself);gc44eurf:Alan Carr (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
5x01,2007-06-15,9b46vz01:Johnny Vegas (Himself);y4h3y6yc:Vic Reeves (Himself);9onu5g1s:Katie Hopkins (Herself);4lv1v3uk:Danny Dyer (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
5x02,2007-06-22,nn71jpyb:David Walliams (Himself);tz9hsonw:Rhys Thomas (Himself);6jht67f1:Griff Rhys Jones (Himself);stwfvrzs:Konnie Huq (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
5x03,2007-06-29,knmi89g6:Gok Wan (Himself);z18vio1l:Joan Rivers (Herself);d5k93z5f:Alexa Chung (Herself);m9jas0rx:Frankie Boyle (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
5x04,2007-07-06,l5zf69hi:Glenn Wool (Himself);el1fuufx:Greg Rusedski (Himself);ejvlgb2l:Trisha Goddard (Herself);ea7kakgp:Alun Cochrane (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
5x05,2007-07-13,xyq08s93:Liza Tarbuck (Herself);0724mpe9:Stewart Lee (Himself);d3sqeb8w:Susie Essman (Herself);u0lmwty1:Alan Cumming (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
5x06,2007-07-20,2ycshwu5:Alex Zane (Himself);nn71jpyb:David Walliams (Himself);j913kg9w:Peaches Geldof (Herself);y9qap6t1:Chris Addison (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
5x07,2007-08-30,m0bl5jka:Gerry Stergiopoulos (Himself);hvuct315:Charley Uchea (Herself);1tel35ee:Danny Wallace (Himself);zid1la51:James Corden (Himself);zqzmp0du:Tracey Barnard (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
6x01,2008-06-13,nn71jpyb:David Walliams (Himself);y4h3y6yc:Vic Reeves (Himself);l9ij492d:Jodie Kidd (Herself);o2qo1ghm:Raef Bjayou (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
6x02,2008-06-20,h05d7vbw:Mike Wilmot (Himself);h2y2qk8d:Theo Paphitis (Himself);uemudlsw:Kelly Osbourne (Herself);j9nk18ol:John Bishop (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
6x03,2008-06-27,3xla1274:Lee Mack (Himself);kp38l2in:Matt Littler (Himself);wuzxhhqe:Vanessa Feltz (Herself);m9jas0rx:Frankie Boyle (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
6x04,2008-07-04,acajgupg:Claudia Winkleman (Herself);kb3a51qs:Mark Watson (Himself);om2iuo4o:Gabby Logan (Herself);sx5n2tkh:Phill Jupitus (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
6x05,2008-07-11,9b46vz01:Johnny Vegas (Himself);rhhx9oi8:Johnny Vaughan (Himself);p8n4kcfd:Duncan James (Himself);stwfvrzs:Konnie Huq (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
