Episode,Date,Guests (Himself/Herself - Role),References
3x03,2009-08-24,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);vo7y4a4s:Jamelia (Herself);funl9xzs:Marcus Brigstocke (Himself);ok7h93p6:Terry Christian (Himself);tiewbgqw:Jimmy Carr (Himself);,
3x04,2009-08-31,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);acajgupg:Claudia Winkleman (Herself);3vblg9jo:Jason Manford (Himself);i4apt8jq:Clive Anderson (Himself);roo1tkll:Miranda Hart (Herself);,
3x05,2009-09-07,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);djszfogi:Jack Whitehall (Himself);8o9jj5k0:Kelvin MacKenzie (Himself);n8fubkkv:Christine Bleakley (Herself);m9jas0rx:Frankie Boyle (Himself);,
3x06,2009-09-14,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);h6a1vk7h:Davina McCall (Herself);2ufl1i4u:Dave Gorman (Himself);h6wdx3nf:Janet Street-Porter (Herself);q6xkq8v3:Omid Djalili (Himself);,
3x07,2009-09-21,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);otmm27t8:Sir Chris Hoy (Himself);1q20caz8:Ronni Ancona (Herself);1tel35ee:Danny Wallace (Himself);om2iuo4o:Gabby Logan (Herself);,
3x08,2009-09-28,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);tzaqzx5z:Trinny Woodall (Herself);okvzuwkk:Reece Shearsmith (Himself);9glurh4i:Michael Ball (Himself);a7y0buzm:Charlie Brooker (Himself);,
4x01,2010-07-23,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);zkbg1ia3:Fern Britton (Herself);nn9k8ba9:Richard E Grant (Himself);92eoqkw9:Martin Clunes (Himself);l9dxrh30:Sanjeev Bhaskar (Himself);,
4x02,2010-07-30,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);3vblg9jo:Jason Manford (Himself);t6m377l9:Ruth Jones (Herself);goz3ofbt:Jack Dee (Himself);7lm338ce:Peter Serafinowicz (Himself);,
4x03,2010-08-06,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);qfrtgzqn:Keeley Hawes (Herself);1fchiwmk:Stephen Mangan (Himself);h6o9xvx5:Kevin Bridges (Himself);fcarckng:Prof. Brian Cox (Himself);,
4x04,2010-08-13,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);xitxfn4s:Craig Revel Horwood (Himself);kkagp8c2:Ben Fogle (Himself);2wabbiew:Kate Silverton (Herself);i5uubaby:Hugh Dennis (Himself);,
4x05,2010-08-20,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);6y4ed45r:Ronnie Corbett (Himself);2a1h4fcb:Julian Clary (Himself);oxyl45br:Sarah Millican (Herself);xlfikdcz:Holly Walsh (Herself);,
4x06,2010-08-27,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);y8jeuq2u:Hugh Fearnley-Whittingstall (Himself);h663jn38:Rufus Hound (Himself);roo1tkll:Miranda Hart (Herself);w4g8xnp5:Rhod Gilbert (Himself);,
4x07,2010-09-03,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);u9jjmpti:Patrick Kielty (Himself);pali8hyz:Bernard Cribbins (Himself);07j1v5ma:Deborah Meaden (Herself);kb3a51qs:Mark Watson (Himself);,
4x08,2010-09-10,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);j9nk18ol:John Bishop (Himself);r3gbcre0:Joanna Page (Herself);6ecnttaq:Patsy Palmer (Herself);y9qap6t1:Chris Addison (Himself);,
5x01,2011-09-09,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);z4b6o3bs:Rebecca Front (Herself);djszfogi:Jack Whitehall (Himself);bpd8wguf:Nick Hewer (Himself);roo1tkll:Miranda Hart (Herself);,
5x02,2011-09-16,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);whm3kdox:Robert Webb (Himself);qeo0rxo6:Terry Wogan (Himself);fpob54ax:Katy Wix (Herself);h6o9xvx5:Kevin Bridges (Himself);,
5x03,2011-09-23,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);qzdunwq0:David O'Doherty (Himself);cd2901cw:Katherine Parkinson (Herself);t4cb2ymy:Bill Turnbull (Himself);qgrc9bij:Louie Spence (Himself);,
5x04,2011-09-29,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);1h4t1xrp:Gregg Wallace (Himself);i5w6irho:Nigel Havers (Himself);a7y0buzm:Charlie Brooker (Himself);6993z4xk:Nina Wadia (Herself);,
5x05,2011-10-07,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);m760gkci:Phil Tufnell (Himself);funl9xzs:Marcus Brigstocke (Himself);stwfvrzs:Konnie Huq (Herself);hajxdyo5:Greg Davies (Himself);,
5x06,2011-10-14,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);8bduf8ih:Frank Skinner (Himself);l57v7nvn:Bill Oddie (Himself);k6egqudh:Jon Richardson (Himself);oxyl45br:Sarah Millican (Herself);,
5x07,2011-10-21,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);bbg72sov:Mackenzie Crook (Himself);ewm3lv1m:Chris Packham (Himself);x5unmeqr:Victoria Coren (Herself);w4g8xnp5:Rhod Gilbert (Himself);,
5x08,2011-10-28,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);e6wb7i8j:Lorraine Kelly (Herself);x9y0q5f5:Dara O'Briain (Himself);t4r1ivmw:Barry Cryer (Himself);yy0vihbr:Sue Perkins (Herself);,
6x01,2012-04-13,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);15jmzsmk:Alex Jones (Herself);iysm1k9t:Alexander Armstrong (Himself);pgr1jqw5:Chris Tarrant (Himself);eyxy68yo:Mel Giedroyc (Herself);,
6x02,2012-04-20,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);yeh4puca:Richard Madeley (Himself);l9dxrh30:Sanjeev Bhaskar (Himself);gth8qwu7:Kate Humble (Herself);lcx9zc14:Miles Jupp (Himself);,
6x03,2012-04-27,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);roo1tkll:Miranda Hart (Herself);sas88cch:Clare Balding (Herself);op2wg6b0:Dale Winton (Himself);twwcraft:Richard Bacon (Himself);,
6x04,2012-05-04,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);9g1i4uoz:Des O'Connor CBE (Himself);iz7ve7yp:Tess Daly (Herself);w4g8xnp5:Rhod Gilbert (Himself);wm67xya4:Sally Phillips (Herself);,
6x05,2012-05-11,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);4mzh48iq:Andy Hamilton (Himself);om2iuo4o:Gabby Logan (Herself);vs8m7zgl:Dr Christian Jessen (Himself);fkn1ef7s:Diane Parish (Herself);,
6x06,2012-05-18,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);k4ynw4wa:Bob Mortimer (Himself);yoqwlew0:Patsy Kensit (Herself);hajxdyo5:Greg Davies (Himself);5a6ylpdb:Richard Osman (Himself);,
6x07,2012-05-25,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);z49w47ci:Huw Edwards (Himself);oxyl45br:Sarah Millican (Herself);mhn6jovu:Bradley Walsh (Himself);xq202779:Josie Lawrence (Herself);,
6x08,2012-06-22,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);tlc6lx3r:Emily Maitlis (Herself);djszfogi:Jack Whitehall (Himself);9cq8dbv2:Jim Carter (Himself);lg4f4z19:Armando Iannucci (Himself);,
7x01,2013-05-03,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);w4g8xnp5:Rhod Gilbert (Himself);qx0mniaw:Vernon Kay (Himself);x9y0q5f5:Dara O'Briain (Himself);wjmqif41:Denise Van Outen (Herself);,
7x02,2013-05-10,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);dtmoek79:Charles Dance (Himself);1fchiwmk:Stephen Mangan (Himself);bik5fnyr:Isy Suttie (Herself);knmi89g6:Gok Wan (Himself);,
7x03,2013-05-17,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);m2pllc47:Joan Bakewell (Herself);tf7vbgni:Warwick Davis (Himself);hns5e85y:Paul Hollywood (Himself);3vblg9jo:Jason Manford (Himself);,
7x04,2013-05-24,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);wlfagkqd:Matt Dawson (Himself);eyxy68yo:Mel Giedroyc (Herself);ysvv93ea:Josh Widdicombe (Himself);qgikc84j:Dermot O'Leary (Himself);,
7x05,2013-05-31,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);nlbhhrhx:Susan Calman (Herself);5a6ylpdb:Richard Osman (Himself);kq7gfvdg:Carol Kirkwood (Herself);qzdunwq0:David O'Doherty (Himself);,
7x06,2013-06-14,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);oxyl45br:Sarah Millican (Herself);k6egqudh:Jon Richardson (Himself);dpb5dze5:David Harewood (Himself);k4ynw4wa:Bob Mortimer (Himself);,
7x07,2013-06-21,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);h63widgu:Greg Rutherford MBE (Himself);f00lobif:Kirsty Young (Herself);bd9u5fdd:Joanna Scanlan (Herself);5dvk7gjz:Henning Wehn (Himself);,
7x08,2013-06-28,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself);6jht67f1:Griff Rhys Jones (Himself);23n5qik6:Dave Myers (Himself);wj8bwvmp:Susanna Reid (Herself);,
8x01,2014-09-12,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);t2vdoodq:Fiona Bruce (Herself);66ftg5eh:Micky Flanagan (Himself);nqgc9rno:Steve Jones (Himself);acajgupg:Claudia Winkleman (Herself);,
8x02,2014-09-19,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);lv2iazaj:Bruno Tonioli (Himself);vj70vg71:Adam Buxton (Himself);fne2eqbt:Kirsty Wark (Herself);vj7g8edl:Rob Beckett (Himself);,
8x03,2014-09-26,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);k4ynw4wa:Bob Mortimer (Himself);eyxy68yo:Mel Giedroyc (Herself);ddsoiz6p:Adil Ray (Himself);o1jjio92:Kian Egan (Himself);,
8x04,2014-10-03,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);lcx9zc14:Miles Jupp (Himself);piei1ueq:Heston Blumenthal OBE (Himself);0ncydqu5:Emilia Fox (Herself);lqu3n4lu:Ed Byrne (Himself);,
8x05,2014-10-10,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);w4g8xnp5:Rhod Gilbert (Himself);gwxo3naf:Kelly Hoppen MBE (Herself);6vpb1owi:Carol Vorderman (Herself);ay8fjft4:Hal Cruttenden (Himself);,
