Episode,Date,Guests (Himself/Herself - Role),References
3x01,2021-02-10,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);4eq3cvso:Suzi Ruffell (Herself);75gf53uy:Tom Allen (Himself);4o00yn0w:Sophie Duker (Herself);59gmixwl:Desiree Burch (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/3/1/
3x02,2021-02-17,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);eyjfogrf:Joe Wilkinson (Himself);fdv2ekcb:Harriet Kemsley (Herself);lcx9zc14:Miles Jupp (Himself);8tklkv5y:Jessica Knappett (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/3/2/
3x03,2021-02-24,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);fwsawolj:Richard Ayoade (Himself);45nd42d5:Roisin Conaty (Herself);y7g8qms1:Evelyn Mok (Herself);9t9u6aoh:Ivo Graham (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/3/3/
3x04,2021-03-03,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);x5unmeqr:Victoria Coren Mitchell (Herself);1kk1uwrv:Joe Sutherland (Himself);jma7jazd:Maisie Adam (Herself);m5gihwar:Ed Gamble (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/3/4/
3x05,2021-03-10,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);0m2aa811:Judi Love (Herself);ncw32b4v:Chris McCausland (Himself);hk2rczao:Alan Davies (Himself);xyq08s93:Liza Tarbuck (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/3/5/
3x06,2021-03-17,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);4n3gcuir:Huge Davies (Himself);xccc59r3:Joel Dommett (Himself);wm67xya4:Sally Phillips (Herself);3r3djszr:Helen Bauer (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/3/6/
3x07,2021-03-24,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);b93y6vnu:Jo Brand (Herself);evru4wjz:Jessica Fostekew (Herself);qa5s3f3t:Phil Wang (Himself);jzw2u6u6:Ellie Taylor (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/3/7/
3x08,2021-03-31,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);yy0vihbr:Sue Perkins (Herself);lyr97zzu:Sara Pascoe (Herself);sy2sdgn0:Dane Baptiste (Himself);irmr1td1:Sindhu Vee (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/3/8/
4x01,2022-05-18,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);fwsawolj:Richard Ayoade (Himself);kjzneopj:Guz Khan (Himself);jma7jazd:Maisie Adam (Herself);2kx8j8lq:Chloe Petts (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/4/1/
4x02,2022-05-25,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);x9y0q5f5:Dara O'Briain (Himself);45nd42d5:Roisin Conaty (Herself);qa5s3f3t:Phil Wang (Himself);h726k2vb:Ninia Benjamin (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/4/2/
4x03,2022-06-01,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);l2c0axys:Bill Bailey (Himself);b93y6vnu:Jo Brand (Herself);fdv2ekcb:Harriet Kemsley (Herself);zq3h8ifh:Darren Harriott (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/4/3/
4x04,2022-06-08,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);etlu6722:Rose Johnson (Herself);kjzneopj:Guz Khan (Himself);goz3ofbt:Jack Dee (Himself);4eq3cvso:Suzi Ruffell (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/4/4/
4x05,2022-06-15,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);t1fas7bj:Esther Manito (Herself);k6egqudh:Jon Richardson (Himself);5l0pn3tm:Rosie Jones (Herself);8bduf8ih:Frank Skinner (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/4/5/
4x06,2022-06-22,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);0m2aa811:Judi Love (Herself);t78vjvqd:Amy Gledhill (Herself);gidlllww:Josh Pugh (Himself);xyq08s93:Liza Tarbuck (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/4/6/
4x07,2022-06-29,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);wtzft1x0:Ross Noble (Himself);27g5s77i:Angela Barnes (Herself);famj25hq:Sunil Patel (Himself);xoptut0i:Lou Sanders (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/4/7/
4x08,2022-07-06,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);x5unmeqr:Victoria Coren Mitchell (Herself);bik5fnyr:Isy Suttie (Herself);5l0pn3tm:Rosie Jones (Herself);kqzz5hj0:Toussaint Douglas (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/4/8/
