Episode,Date,Guests (Himself/Herself - Role),References
19800508,1980-05-08,h0am8hjl:Claire Palley (Herself);jvxolyey:Stanley Orme (Himself);lnvbuw3a:John Grugeon (Himself);shclqt0l:Alan Beith (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19800515,1980-05-15,wcm4tx1l:Robin Day (Himself - Host);8qxdrbms:Hugh Clegg (Himself);mpharfr2:Reg Prentice (Himself);sakyvnzx:Jo Richardson (Herself);x7tuqdfb:Angela Rumbold (Herself);,
19800522,1980-05-22,u45htdbh:Shirley Williams (Herself);sazv9adb:Walter Goldsmith (Himself);m84qibo0:Paul Foot (Himself);1rlvy9at:Leon Brittan (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19800529,1980-05-29,wcm4tx1l:Robin Day (Himself - Host);sly4hu78:Patricia Hewitt (Herself);0i6ug3cf:Robert Mellish (Himself);elokf2z9:Timothy Raison (Himself);5zvj0j30:David Sheppard (Himself);,
19800605,1980-06-05,9rwn0dyw:Janet Young (Herself);d3hz60kf:Harold Lever (Himself);mqiwb6bs:Patricia Hollis (Herself);jsjofi55:Patrick Devlin (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19800612,1980-06-12,wcm4tx1l:Robin Day (Himself - Host);ziw0i6iu:Ann Clwyd (Herself);4o3ybr8g:James Goldsmith (Himself);b1ci6w6t:Sally Oppenheim (Herself);e4iq7rzy:Bill Sirs (Himself);,
19801016,1980-10-16,m0nc6gct:James Prior (Himself);hosinlvm:Daphne Park (Herself);sly4hu78:Patricia Hewitt (Herself);2ez6rxe4:David Basnett (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19801023,1980-10-23,8lj0pu0y:Arnold Weinstock (Himself);eckt9ik8:Nigel Lawson (Himself);ct7m0nlo:Una Kroll (Herself);hhduglg9:Roy Hattersley (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19801030,1980-10-30,wcm4tx1l:Robin Day (Himself - Host);eln79sn0:Denis Healey (Himself);fim6clzr:Mary Kaldor (Herself);rmr5uctt:Conor Cruise O'Brien (Himself);ime7bcaf:Peter Thorneycroft (Himself);,
19801106,1980-11-06,wcm4tx1l:Robin Day (Himself - Host);qgp5nij1:Mary Baker (Herself);nvzi0v7b:Leonard Downie (Himself);trkhvaas:Francis Pym MP (Himself);0v7pan2n:Peter Shore MP (Himself);,
19801113,1980-11-13,wcm4tx1l:Robin Day (Himself - Host);8epcafm7:Liliana Brisby (Herself);bzumchb6:Eric Heffer (Himself);m20sraag:Ann Leslie (Herself);lnfpseu0:Norman St. John Stevas (Himself);,
19801120,1980-11-20,ymx2cbdc:Angus Maude (Himself);9oc7ly4q:Gavin Laird (Himself);ewnb74k6:Judith Hart (Herself);uvaxnled:Michael Carver (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19801127,1980-11-27,wcm4tx1l:Robin Day (Himself - Host);e30sa4lj:John Alderson (Himself);pq2b2jc8:Dianne Hayter (Herself);5mvyezyy:Roy Shaw (Himself);clkkbknj:Teddy Taylor (Himself);,
19801204,1980-12-04,gepnetc2:John Harvey-Jones (Himself);dju7y2wb:Joe Gormley (Himself);pdn2ma3e:Lynda Chalker (Herself);7lqhz8e9:Tessa Blackstone (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19801211,1980-12-11,d2smkwew:Gillian Peele (Herself);pfdwt6fw:Neil Kinnock (Himself);3ylrrod4:Peter Jay (Himself);g3q5hjbp:David Howell (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19801218,1980-12-18,wcm4tx1l:Robin Day (Himself - Host);28egi2yq:Stanley Booth-Clibborn (Himself);umhd322y:Edward du Cann (Himself);wwkpqdzx:Antonia Fraser (Herself);u45htdbh:Shirley Williams (Herself);,
19810115,1981-01-15,dzoa6avl:William Whitelaw (Himself);tdz6e7jn:Cyril Smith (Himself);mqr4x2mg:Peter Parker (Himself);uye1bfdt:Barbara Castle (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19810122,1981-01-22,wcm4tx1l:Robin Day (Himself - Host);drt2ckxy:Terence Beckett (Himself);o8csgmvg:Tom Jackson (Himself);b1ci6w6t:Sally Oppenheim (Herself);v9up74sw:John Silkin (Himself);,
19810129,1981-01-29,ncip4wjk:Peter Walker (Himself);l2vtpbmd:David Steel (Himself);dn4g5ok5:David Owen (Himself);5rsja5l9:Frances Morrell (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19810205,1981-02-05,wcm4tx1l:Robin Day (Himself - Host);3339vnlq:Gwyneth Dunwoody (Herself);4hexez3c:Eldon Griffiths (Himself);1pc6djt5:Clive Jenkins (Himself);5h2h0uj0:David Napley (Himself);,
19810212,1981-02-12,lnfpseu0:Norman St. John Stevas (Himself);fagpd1rq:Max Reloff (Himself);git0qle8:Edna Healey (Herself);rtfkdqtt:Edward Daly (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19810226,1981-02-26,ufd3xqyh:Nancy Seear (Herself);l1forvkz:Alex Jarratt (Himself);f2i03ty5:Donald Dewar (Himself);7r9mq6up:Rhodes Boyson (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19810305,1981-03-05,wcm4tx1l:Robin Day (Himself - Host);c2vhg8wt:Monty Finniston (Himself);bi5xv4ao:Barney Hayhoe (Himself);jm7ncx6n:Terry Marsland (Herself);628j8kc7:Jack Straw (Himself);,
19810312,1981-03-12,wdq1zmpr:David Penhaligon (Himself);jvxolyey:Stanley Orme (Himself);4qmnitf3:Detta O'Cathain (Herself);usva0hyr:Geoffrey Howe (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19810319,1981-03-19,wcm4tx1l:Robin Day (Himself - Host);3ks347jx:Peggy Fenner (Herself);dulpbun8:Merlyn Rees (Himself);6meyfm3e:William Rees-Mogg (Himself);eafi5tqq:Arthur Scargill (Himself);,
19810326,1981-03-26,gfwuhxg3:Dick Taverne (Himself);jae5mrc5:Gerald Kaufman (Himself);rznout0j:Douglas Hurd (Himself);vrnsc6og:Nicky Harrison (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19810402,1981-04-02,8o3xysdx:Robert McKenzie (Himself - Host);wr7saway:Moss Evans (Himself);uuksxavw:Jo Grimond (Himself);b43xi2bb:Susan Masham (Herself);tpzpaesf:Norman Tebbit (Himself);,
19810409,1981-04-09,e7gmb9hv:Michael Heseltine (Himself);hhduglg9:Roy Hattersley (Himself);178d9vni:Harriet Harman (Herself);irkf7nyo:Nigel Broackes (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19810416,1981-04-16,u56xtjl4:Hugh Montefiore (Himself);x45pzlc3:Paul Johnson (Himself);nadk4jhz:Sarah Hogg (Herself);elyt8yim:Terry Duffy (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19810423,1981-04-23,wcm4tx1l:Robin Day (Himself - Host);a9p8alpe:Janey Buchan (Herself);u50l7bgf:John Pardoe (Himself);8tve5oc9:Leo Pliatzky (Himself);xygtzm23:Geoffrey Rippon (Himself);,
19810430,1981-04-30,0v7pan2n:Peter Shore (Himself);dzo497jr:Bel Mooney (Herself);33qlznh9:Roy Jenkins (Himself);ofdorclq:Nicholas Fairbairn (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19810507,1981-05-07,wcm4tx1l:Robin Day (Himself - Host);a3rqajsy:Ralf Dahrendorf (Himself);ikr03m7x:Ken Gill (Himself);ime7bcaf:Peter Thorneycroft (Himself);l66vovsw:Hélène Hayman (Herself);,
19810514,1981-05-14,kx8ovieb:George Younger (Himself);ido83d2n:Jane Reed (Herself);ky5es2cv:Ian Mikardo (Himself);38smf4j9:Nicholas Goodison (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19810521,1981-05-21,wcm4tx1l:Robin Day (Himself - Host);ej06pyzg:Frank Field (Himself);fl285sii:Alexander Gowrie (Himself);b7o4538l:Miriam Karlin (Herself);t1z4mq4g:Sara Morrison (Herself);,
19810528,1981-05-28,mr6mvp4r:Enoch Powell (Himself);80jyti3m:Mary Holland (Herself);bzumchb6:Eric Heffer (Himself);1rlvy9at:Leon Brittan (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19810604,1981-06-04,dj5srs93:Peter Hill-Norton (Himself);eln79sn0:Denis Healey (Himself);m84qibo0:Paul Foot (Himself);pdn2ma3e:Lynda Chalker (Herself);wcm4tx1l:Robin Day (Himself - Host);,
