Episode,Date,Guests (Himself/Herself - Role),References
1x01,2021-09-13,3vblg9jo:Jason Manford (Himself - Host);tiewbgqw:Jimmy Carr (Himself);1rtqz52s:Russell Kane (Himself);suxshpu3:Sara Barron (Herself);fo7zcozd:Sayeeda Warsi (Herself),https://www.comedy.co.uk/tv/the-complaints-department/episodes/1/1/
1x02,2021-09-20,3vblg9jo:Jason Manford (Himself - Host);oxyl45br:Sarah Millican (Herself);q0hiyf6l:Eshaan Akbar (Himself);4eq3cvso:Suzi Ruffell (Herself);ay8fjft4:Hal Cruttenden (Himself),https://www.comedy.co.uk/tv/the-complaints-department/episodes/1/2/
1x03,2021-09-27,3vblg9jo:Jason Manford (Himself - Host);lyr97zzu:Sara Pascoe (Herself);jma7jazd:Maisie Adam (Herself);fsmcqxh1:Jack Carroll (Himself);sy2sdgn0:Dane Baptiste (Himself),https://www.comedy.co.uk/tv/the-complaints-department/episodes/1/3/
1x04,2021-10-04,3vblg9jo:Jason Manford (Himself - Host);tiewbgqw:Jimmy Carr (Himself);1rtqz52s:Russell Kane (Himself);ydcva7s1:Sarah Keyworth (Herself);yzcnla0i:Geoff Norcott (Himself),https://www.comedy.co.uk/tv/the-complaints-department/episodes/1/4/
1x05,2021-10-11,3vblg9jo:Jason Manford (Himself - Host);6fd2akfw:John Thomson (Himself);lyr97zzu:Sara Pascoe (Herself);0kvfpevl:Fern Brady (Herself);5glerez5:Shazia Mirza (Herself),https://www.comedy.co.uk/tv/the-complaints-department/episodes/1/5/
1x06,2021-10-18,3vblg9jo:Jason Manford (Himself - Host);oxyl45br:Sarah Millican (Herself);x06ndrsl:Nick Helm (Himself);i6jkoxqv:Daliso Chaponda (Himself);g1yvca5i:Catherine Bohart (Herself),https://www.comedy.co.uk/tv/the-complaints-department/episodes/1/6/
