Episode,Date,Guests (Himself/Herself - Role),References
5x01,2015-07-13,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);c26v5h9k:Katherine Ryan (Herself);hxu262av:Mike Wozniak (Himself);e3awkgee:Mason McQueen (Himself);,
5x02,2015-07-20,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);9k3xrhyo:Romesh Ranganathan (Himself);2ufl1i4u:Dave Gorman (Himself);96l7fc6l:Idil Sukan (Herself);,
5x03,2015-07-27,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);yep3a4cb:Brett Goldstein (Himself);8zjfx5c2:Humphrey Ker (Himself);6eut6m8s:Simon Price (Himself);,
5x04,2015-08-03,34qt5d7m:Danielle Ward (Herself - Host);q1vghuhp:Matthew Crosby (Himself);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);zweuyjw7:Ben Clark (Himself);bik5fnyr:Isy Suttie (Herself);yiew1uti:George Watts (Himself);,
5x05,2015-08-10,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);rwxhc32a:Joe Lycett (Himself);zzj67mce:Doc Brown (Himself);bcujzcbs:Dr Erica McAlister (Herself);,
6x01,2016-07-25,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);d9v5vbkt:Shappi Khorsandi (Herself);5a6ylpdb:Richard Osman (Himself);g1e1gmhp:Malcolm the Butler (Himself),https://www.comedy.co.uk/podcasts/dotherightthing/series6_1/
6x02,2016-08-01,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);4omd31xd:Kerry Godliman (Herself);japacokt:Paul Sinha (Himself);wyctvj08:Simon Watt (Himself),https://www.comedy.co.uk/podcasts/dotherightthing/series6_2/
6x03,2016-08-09,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);h663jn38:Rufus Hound (Himself);k56f1us9:Diane Morgan (Herself);gva5nlr0:Greg Foxsmith (Himself),https://www.comedy.co.uk/podcasts/dotherightthing/series6_3/
6x04,2016-08-16,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);14gjk2dc:Anna Crilly (Herself);fpob54ax:Katy Wix (Herself);xaybd05b:Hazel Townsend (Herself),https://www.comedy.co.uk/podcasts/dotherightthing/series6_4/
6x05,2016-08-22,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);fmg0vgaf:Andy Zaltzman (Himself);xoptut0i:Lou Sanders (Herself);bj4mdy3e:Alix Fox (Herself),https://www.comedy.co.uk/podcasts/dotherightthing/series6_5/
6x06,2016-08-29,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);lyr97zzu:Sara Pascoe (Herself);m6id19ht:John Robins (Himself);6jc2jv59:Steve Rimmer (Himself),https://www.comedy.co.uk/podcasts/dotherightthing/series6_6/
2017x01,2017-06-29,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);5qafkezh:Cariad Lloyd (Herself);qa5s3f3t:Phil Wang (Himself);,https://www.comedy.co.uk/podcasts/dotherightthing/2017_special_1/
2017x02,2017-07-20,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);vg4mni0b:Sarah Kendall (Herself);y9qap6t1:Chris Addison (Himself);,https://www.comedy.co.uk/podcasts/dotherightthing/2017_special_2/
2017x03,2017-12-18,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);evru4wjz:Jessica Fostekew (Herself);ewwqjcle:Nish Kumar (Himself);,https://www.comedy.co.uk/podcasts/dotherightthing/2017_special_xmas/
