Episode,Date,Guests (Himself/Herself - Role),References
20180514,2018-05-14,5muby5j7:Ellen Fanning (Herself - Host);izmdxon2:Ayten Saridas (Herself);o78jvhc3:Peter Hartcher (Himself);nwfqjmu4:Van Badham (Herself),http://www.abc.net.au/news/2018-05-14/the-drum-monday-may-14/9759976
20180515,2018-05-15,5muby5j7:Ellen Fanning (Herself - Host);2q7woora:Greg Sheridan (Himself);fe7kvshd:Jacqueline Maley (Herself);fvj8mwtk:Saman Shad (Herself),http://www.abc.net.au/news/2018-05-15/the-drum-tuesday-may-15/9764606
20180516,2018-05-16,bgi2x608:Julia Baird (Herself - Host);lum9fmit:Avril Henry (Herself);6zkxrr9h:Bridie Jabour (Herself);1gkf5ijj:Josh Manuatu (Himself);hdj42ams:Tim Soutphommasane (Himself),http://www.abc.net.au/news/2018-05-16/the-drum-wednesday-may-16/9768918
20180517,2018-05-17,bgi2x608:Julia Baird (Herself - Host);nvaxwc3n:Rick Morton (Himself);ka1ug8ow:Katrina Hodgkinson (Herself);m8td37kv:Darren Saunders (Himself);dgpt8tdj:Jane Gilmore (Herself),http://www.abc.net.au/news/2018-05-17/the-drum-thursday-may-17/9773176
20180518,2018-05-18,bgi2x608:Julia Baird (Herself - Host);a8d0ub7g:Jessica Meeuwig (Herself);pc8wftal:Bob Kearney (Himself);mwv5fgm9:James Woodford (Himself);hibc8gua:Denise Hardest (Herself),http://www.abc.net.au/news/2018-05-18/the-drum-friday-may-18/9777840
20180521,2018-05-21,5muby5j7:Ellen Fanning (Herself - Host);6zrk0iyg:Warren Mundine (Himself);3qax76pu:Stefanee Lovett (Herself);pv3xv5t8:Peter van Onselen (Himself);wz3hmvpq:Noel Debein (Himself),http://www.abc.net.au/news/2018-05-21/the-drum-monday-may-21/9784646
20180522,2018-05-22,5muby5j7:Ellen Fanning (Herself - Host);j3iocqh7:Kerry Chikarovski (Herself);7gr9cj24:Margo Kingston (Herself);mmdktypf:Michael Biercuk (Himself);bv22c8tx:Paul Bongiorno (Himself),http://www.abc.net.au/news/2018-05-22/the-drum-tuesday-may-22/9788900
20180523,2018-05-23,bgi2x608:Julia Baird (Herself - Host);trdplte0:Elaine Pearson (Herself);1fcpa1zb:Erin Watson-Lynn (Herself);ffswmpwg:Katharine Murphy (Herself);nuos6cp7:Simon Cowan (Himself),http://www.abc.net.au/news/2018-05-23/the-drum-wednesday-may-23/9793200
20180524,2018-05-24,bgi2x608:Julia Baird (Herself - Host);s3unbql6:Christopher Brown (Himself);4p25xr2d:Dai Le (Herself);ucf133tn:Emma Dawson (Herself);hkrhpojk:Paul Zahra (Himself),http://www.abc.net.au/news/2018-05-24/the-drum-thursday-may-24/9797686
20180525,2018-05-25,bgi2x608:Julia Baird (Herself - Host);ngq5x88w:Jane Caro (Herself);1c3807du:Karen Middleton (Herself);80fzyfa1:Kate Eastman (Herself);1h802b7f:Michael Jensen (Himself),http://www.abc.net.au/news/2018-05-25/the-drum-friday-may-25/9801928
20180528,2018-05-28,5muby5j7:Ellen Fanning (Herself - Host);rfkc9ntw:Kerryn Phelps (Herself);wy1xjce2:Ming Long (Herself);o78jvhc3:Peter Hartcher (Himself);91gff5ag:Tanya Hosch (Herself),http://www.abc.net.au/news/2018-05-28/the-drum-monday-may-28/9809292
20180529,2018-05-29,5muby5j7:Ellen Fanning (Herself - Host);88zm45f5:Caroline Overington (Herself);lw9s9tk5:Nassim Khadem (Herself);h6hovfob:Stephen O'Doherty (Himself);ei1nsjoh:Jack Boyd (Himself),http://www.abc.net.au/news/2018-05-29/the-drum-tuesday-may-29/9813448
20180530,2018-05-30,5muby5j7:Ellen Fanning (Herself - Host);qqnafegr:Alice Workman (Herself);wz3hmvpq:Noel Debein (Himself);brpo64a2:Ngiare Brown (Herself);n6ja8cdo:Robyn Parker (Herself),http://www.abc.net.au/news/2018-05-30/the-drum-wednesday-may-30/9817658
20180531,2018-05-31,bgi2x608:Julia Baird (Herself - Host);moha96ua:Josephine Cashman (Herself);b6e47hrf:Katherine O’Regan (Herself);p4ox9yao:Peter Lewis (Himself),http://www.abc.net.au/news/2018-05-31/the-drum-thursday-may-31/9822392
20180601,2018-06-01,bgi2x608:Julia Baird (Herself - Host);un5n8yds:Allan Clarke (Himself);lgzji9r8:Geoffrey Winters (Himself);4pazw4rv:Sophie Black (Herself);jxdevhfn:Michael Pascoe (Himself),http://www.abc.net.au/news/2018-06-01/the-drum-friday-june-1/9826596
20180604,2018-06-04,5muby5j7:Ellen Fanning (Herself - Host);w9q56nx1:Annika Smethurst (Herself);1m0ah893:Brad Chilcott (Himself);7ui5n9ie:Angela Vithoulkas (Herself);s3unbql6:Chris Brown (Himself),http://www.abc.net.au/news/2018-06-04/the-drum-monday-june-4/9833768
20180605,2018-06-05,5muby5j7:Ellen Fanning (Herself - Host);bv22c8tx:Paul Bongiorno (Himself);9gtpyxai:Craig Chung (Himself);q3v0z084:Maxine McKew (Herself),http://www.abc.net.au/news/2018-06-05/the-drum-tuesday-june-5/9837846
20180606,2018-06-06,5muby5j7:Ellen Fanning (Herself - Host);wfa2laum:Jane Stanton (Herself);c6n0kylf:Josh Bornstein (Himself);5gt2fs03:Nicki Hutley (Herself),http://www.abc.net.au/news/2018-06-06/the-drum-wednesday-june-6/9842576
20180607,2018-06-07,bgi2x608:Julia Baird (Herself - Host);0w7rfu33:Dr Hannah McGlade (Herself);nwfqjmu4:Van Badham (Herself);42cxwrtk:Gary Marks (Himself);r9ilqcoi:Malcolm Farr (Himself),http://www.abc.net.au/news/2018-06-07/the-drum-thursday-june-7/9846836
20180608,2018-06-08,bgi2x608:Julia Baird (Herself - Host);5dlbmeus:Danny Teece-Johnson (Herself);t0hldzlg:Georgina Dent (Herself);7y4hhlx3:Gray Connolly (Himself);9laz84i5:Sharri Markson (Herself),http://www.abc.net.au/news/2018-06-08/the-drum-friday-june-8/9851640
20180611,2018-06-11,5muby5j7:Ellen Fanning (Herself - Host);zxyg4q1o:Sally Rugg (Herself);o78jvhc3:Peter Hartcher (Himself);yif8oaev:Professor Ian Hickie (Himself),http://www.abc.net.au/news/2018-06-11/the-drum-monday-june-11/9857900
20180612,2018-06-12,5muby5j7:Ellen Fanning (Herself - Host);ryzkueld:Michael Kirby (Himself);vodjmgev:Barbara Heineback (Herself);2q7woora:Greg Sheridan (Himself);trdplte0:Elaine Pearson (Herself),http://www.abc.net.au/news/2018-06-12/the-drum-tuesday-june-12/9862020
