Episode,Date,Guests (Himself/Herself - Role),References
1x01,2020-02-10,yy0vihbr:Sue Perkins (Herself - Host);sqkw8urk:Helen Scales (Herself);mxdat0mw:Lucy Cooke (Herself);vbj7kc1z:James Wong (Himself);zs45y9m6:Felicity Ward (Herself),https://www.bbc.co.uk/programmes/m000f6tn
1x02,2020-02-17,yy0vihbr:Sue Perkins (Herself - Host);ku2sdi9i:Lizzie Daly (Herself);yg2ma4tf:Billy Heaney (Himself);evru4wjz:Jessica Fostekew (Herself),https://www.bbc.co.uk/programmes/m000ffzq
1x03,2020-02-24,yy0vihbr:Sue Perkins (Herself - Host);nk98d7n7:Nick Baker (Himself);vbj7kc1z:James Wong (Himself);pgoexum5:Lucy Porter (Herself),https://www.bbc.co.uk/programmes/m000fpns
1x04,2020-03-02,yy0vihbr:Sue Perkins (Herself - Host);mxdat0mw:Lucy Cooke (Herself);bcujzcbs:Dr Erica McAlister (Herself);z5h8zk70:Kiri Pritchard-Mclean (Herself),https://www.bbc.co.uk/programmes/m000fwcw
1x05,2020-03-09,yy0vihbr:Sue Perkins (Herself - Host);urvpmh9y:Doug Allan (Himself);nlggu54w:Dr Claire Asher (Herself);irmr1td1:Sindhu Vee (Herself),https://www.bbc.co.uk/programmes/m000g4zz
1x06,2020-03-16,yy0vihbr:Sue Perkins (Herself - Host);mxdat0mw:Lucy Cooke (Herself);w59qgkpl:Miranda Lowe (Herself);wm67xya4:Sally Phillips (Herself),https://www.bbc.co.uk/programmes/m000gcwr
