2krdo89a,"Alan Coren",1175
1uesdshd,"Carol McGiffin",1174
pz8jx4u9,"Coleen Nolan",907
dzs8dz72,"Clement Freud",576
t4r1ivmw,"Barry Cryer",482
tiewbgqw,"Jimmy Carr",400
qsu7x0im,"Colin Murray",294
6vpb1owi,"Carol Vorderman",239
1vem5ucx,"Fearne Cotton",179
wimq9t8v,"Patrick Campbell",172
a54csc0l,"Chris Beardshaw",148
nlbhhrhx,"Susan Calman",136
2a1h4fcb,"Julian Clary",114
zid1la51,"James Corden",113
ry40inln,"Christian O'Connell",96
l0a9ekbh,"Christine Walkden",95
fcarckng,"Brian Cox",91
y9qap6t1,"Chris Addison",89
i4apt8jq,"Clive Anderson",86
l18oibi4,"Julian Critchley",83
yo0hg9al,"Des Clarke",79
1dbx2ase,"Henry Cooper",78
x5unmeqr,"Victoria Coren Mitchell",77
85eqhjy7,"Claire Sweeney",74
8zqe3f8c,"Charles Kennedy",71
5c44y6fb,"Chris Ramsey",60
zqqyqu60,"Colin Murphy",58
45nd42d5,"Roisin Conaty",56
ezydy7r2,"Cliff Morgan",55
m2czff56,"Kenneth Clarke",55
hf0tqhpm,"John Cushnie",49
6pkvvx8p,"Menzies Campbell",46
ea7kakgp,"Alun Cochrane",42
acajgupg,"Claudia Winkleman",41
palb9fi1,"Clare Short",39
gc44eurf,"Alan Carr",38
krr31jnw,"Margaret Cabourn-Smith",38
uqomb8vb,"Jeremy Clarkson",36
a7y0buzm,"Charlie Brooker",35
8kk9kqxv,"Christopher Biggins",35
hsz62vhh,"Edwina Currie",33
vvpc2276,"Sara Cox",33
gtrv8kw5,"Robin Cook",31
5eveb8p1,"Jo Caulfield",29
ftygtbr1,"Chris Stark",28
sas88cch,"Clare Balding",28
xxli55x1,"Charles Collingwood",27
2vmtxo13,"Chris Neill",27
n7p4e03w,"Clive James",25
varfhn88,"Melanie Chisholm",25
46tk56ec,"Vince Cable",25
cqw75uie,"Caroline Flint",24
7drw86rm,"Christopher Pyne",23
92eoqkw9,"Martin Clunes",23
sh8lw0ta,"Caroline Lucas",22
xntrkuvv,"Craig Reucassel",22
pceu1zm1,"Chas Licciardello",21
f2hrpp6p,"Rylan Clark-Neal",21
o1jxxatw,"Beverley Callard",20
z013vflf,"Cal Wilson",20
j2gj2jl1,"Carrie Quinlan",20
px3ej8zq,"Nick Clarke",20
rpplxf6m,"Bridget Christie",19
me1djtrk,"Colin Lane",19
xitxfn4s,"Craig Revel Horwood",19
hn8eeq8z,"Sue Cook",19
dj4ku6q6,"Carole Malone",18
nshmb3ef,"Chris Bryant",18
ptmo2wjv,"Cilla Black",18
hct2usf8,"Claire Richards",18
ltb2104r,"Denise Coffey",18
27edtclr,"Pattie Coldwell",18
vdg296jw,"Shami Chakrabarti",18
4vvk3v0o,"Brian Conley",17
cq0uf34g,"Carol Binstead",17
o5kgrcnc,"Charles Falconer",17
4atmbscb,"Clare Francis",17
bc3u96ne,"Michelle Collins",17
ejy4jt39,"Reverend Richard Coles",17
7rrh7nvw,"Caroline Flack",16
