vvgcg1oo,Melvyn Bragg,716
mtov1a5z,Bob Holness,532
t4r1ivmw,Barry Cryer,460
tn2a91cb,Tim Brooke-Taylor,443
j92v1p1s,Sue Barker,371
2fi0cnn2,Lynda Bellingham,321
m552j442,Jackie Brambles,317
u6qgsmzh,Barry Took,309
jlhj9gmd,Alan Brough,228
l2c0axys,Bill Bailey,162
b93y6vnu,Jo Brand,126
e7o1gtcv,Gyles Brandreth,106
9hgf4amz,Rob Brydon,105
funl9xzs,Marcus Brigstocke,105
k4ynw4wa,Bob Mortimer,91
m9jas0rx,Frankie Boyle,79
fcarckng,Brian Cox,79
t2vdoodq,Fiona Bruce,69
lqu3n4lu,Ed Byrne,68
j9nk18ol,John Bishop,62
jv4w409s,Hamish Blake,49
vj7g8edl,Rob Beckett,43
pyqgtpx8,David Baddiel,42
2t7xmn6q,Barry Norman,39
m2pllc47,Joan Bakewell,37
8kk9kqxv,Christopher Biggins,34
bmrxku03,Jo Bunting,32
sjvcpxhb,Tony Benn,31
l57v7nvn,Bill Oddie,31
yp8wx8lv,Margaret Beckett,28
eu9xnhsd,Bill Tidy,25
hte51vd7,Emma Bunton,25
h6o9xvx5,Kevin Bridges,25
zpj590rm,Karren Brady,24
zkbg1ia3,Fern Britton,23
27y8byz9,Rory Bremner,23
ikv6fsuk,Katy Brand,23
sas88cch,Clare Balding,22
z2hsca0r,Bob Mills,22
uheebfyu,Boris Johnson,22
9glurh4i,Michael Ball,21
cken57hf,David Blunkett,20
o1jxxatw,Beverley Callard,20
c5gl5oce,John Barrowman,20
4lzawlf5,Aisling Bea,20
mhn6jovu,Bradley Walsh,20
8b83ajav,Danny Baker,20
t1g5imsm,Ben Miller,19
rsd93cn6,Brian Blessed,18
vln4g78a,Beverley Knight,18
2nlejb5v,Barnaby Joyce,18
yt4t1xp8,Kelly Brook,18
8osc35ur,Alex Brooker,18
ptmo2wjv,Cilla Black,18
a004yyt8,Bill Shorten,17
a7y0buzm,Charlie Brooker,17
h3jvd5mj,Jason Byrne,16
4vvk3v0o,Brian Conley,16
cq066ct3,Malcolm Bruce,16
79obsaor,Melanie Brown,16
nshmb3ef,Chris Bryant,16
s58xt1cz,Robin Bailey,16
rpplxf6m,Bridget Christie,16
6jzole13,Kenneth Baker,15
kkagp8c2,Ben Fogle,15
9adh28pj,George Brandis,15
lyhqj9gj,Russell Brand,15
0pieout7,Jennie Bond,15
og8l7e2v,Tony Banks,15
xlgrf8k6,Mary Beard,15
2f1nzrjr,Zoë Ball,14
l2nlnoss,Dave Berry,14
4yfnoz60,Billy Bragg,14
dzo497jr,Bel Mooney,14
shclqt0l,Alan Beith,14
w3ys941t,Tony Blair,13
pali8hyz,Bernard Cribbins,13
n8fubkkv,Christine Bleakley,13
4yuzqr39,Barry McGuigan,12
ii4d99on,Paul Boateng,12
rnu4f62i,Amanda Barrie,12
bkbqocds,Chris Bowen,12
l9dxrh30,Sanjeev Bhaskar,12
wiig4cwi,Gordon Brown,12
exfyytuy,Julie Bishop,12
fbxgl1ec,Brian Sewell,12
qv2s2rhk,Bryan Gould,11
rd0ds2hm,Hazel Blears,11
1j1ht9qy,Tony Burke,11
vj70vg71,Adam Buxton,11
qgmnota2,Jonathan Bate,11
abacokut,Anthony Berlingeri,11
88jn81u8,Ben Bradshaw,10
cx7fjuj3,Drusilla Beyfus,10
4wnhni21,Dinah Birch,10
remjgzbd,Brian McFadden,10
u2hn2gk5,Amira Bennison,10
l3qwywbu,Kathy Burke,10
twwcraft,Richard Bacon,10
6uqwlgfv,Bernie Nolan,10
kb7br2of,Stephanie Beacham,10
e92t4t3i,Rosie Boycott,10
zz4xtt8j,Bonnie Greer,10
xkrw649n,Andrew Burnham,10
5x3slix2,Anton du Beke,10
wddjqzq5,Alfie Boe,9
w48zn6cf,Virginia Bottomley,9
becwnhsl,Robert Bathurst,9
7cfmed1k,Ben Shephard,9
qw17f42h,Lucy Beaumont,9
nzjlb6or,Peter Bradshaw,9
r4i9834v,Boris Becker,9
0qb7ja28,Bobby Mair,9
9mr5zyt8,Beverley Turner,9
ynebho4z,Michael Bolton,9
v1gu4vsc,John Biffen,9
n7b10tzf,Roger Black,9
1z14i3ky,Brian Dowling,8
xv8o8xgj,Edith Bowman,8
cnv269x1,Jeremy Black,8
0tldhorj,Tony Blackburn,8
w2m5qu13,Angela Browning,8
