3tpyoai7,"Lisa Maxwell",425
anx0aq5q,"Humphrey Lyttelton",358
2fi0cnn2,"Lynda Bellingham",321
yipahedd,"Sean Lock",309
6ria91hx,"Ruth Langsford",234
0smmr1o3,"Keith Lemon",224
3xla1274,"Lee Mack",201
pioyrpar,"Mark Lamarr",186
7vx3qihg,"Linda Robson",179
rq34yrxp,"Linda Smith",145
f9aqgxfg,"Sally Lindsay",120
szqj2i5f,"Gary Lineker",113
2si5a6d3,"Rod Liddle",80
4hgpp1yz,"Lesley Garrett",76
pgoexum5,"Lucy Porter",70
wguqcrlr,"Matt Lucas",69
jtkbv70w,"Zoe Lyons",60
xyq08s93,"Liza Tarbuck",58
rwxhc32a,"Joe Lycett",57
om2iuo4o,"Gabby Logan",51
m20sraag,"Ann Leslie",44
cr7ce9yy,"Lloyd Langford",44
xq202779,"Josie Lawrence",43
homuapft,"Maureen Lipman",41
hh3bsso3,"Ken Livingstone",39
mweb58qf,"Lee Hurst",39
rh8pcjot,"Michael Legge",38
jrj4vgbo,"Joanna Lumley",29
u59d9hld,"Meshel Laurie",28
sh8lw0ta,"Caroline Lucas",27
9w6faun1,"Jay Lafferty",27
n80zlxdw,"Lembit Öpik",25
lc93xu1n,"Les Dennis",25
e6wb7i8j,"Lorraine Kelly",25
ue6apkfm,"Frank Lampard",24
bgfey1xd,"Josie Long",23
d0dayrd3,"Liam Fox",22
4mp3563h,"Penny Lancaster",22
pceu1zm1,"Chas Licciardello",21
mbn8u12z,"Louis Walsh",21
me1djtrk,"Colin Lane",20
lne9ewme,"Lorna Luft",20
qgrc9bij,"Louie Spence",20
5w9vpz1s,"Lucy Bartlett",19
5qafkezh,"Cariad Lloyd",18
beh9r3d9,"Patrick Lichfield",18
wwkpqdzx,"Lady Antonia Fraser",17
6x4n0ufh,"Leanne Wood",17
55nbbpcv,"Sue Lawley",17
plcijfz9,"Alice Levine",16
adwy1gkx,"Lauren Laverne",16
1m3vw7b3,"Lee Ryan",16
eckt9ik8,"Nigel Lawson",16
fkybtxwz,"Denise Lewis",15
j4x51a23,"Laurence Llewelyn-Bowen",15
4tvm98xv,"Lolly Adefope",15
s7i1rglx,"Norman Lamont",15
ya4m2asf,"Rula Lenska",15
nvrepk5z,"Helen Lewis",14
3n7uaov8,"Julia Langdon",14
jgg4fqdq,"Larry Lamb",14
wlk9prmg,"Lisa Snowdon",14
w35t0eif,"Louis Smith",14
bw8tq99q,"Louise Hazel",14
vk4io8y0,"Ruth Lea",14
