864,Nicholas Parsons
777,Paul Merton
569,Alan Coren
547,Clement Freud
475,Ian Hislop
446,Graeme Garden
434,Barry Cryer
405,Tim Brooke-Taylor
397,Jeremy Hardy
378,Phill Jupitus
346,Kenneth Williams
334,Humphrey Lyttelton
330,Peter Jones
313,Sandi Toksvig
309,Derek Nimmo
308,Barry Took
299,Simon Hoggart
288,Jimmy Carr
246,David Mitchell
238,Andy Hamilton
230,Stephen Fry
223,Alan Davies
222,Richard Ingrams
216,Sean Lock
208,Francis Wheen
202,Angus Deayton
200,Tony Hawks
185,Mark Lamarr
176,Willie Rushton
167,Dara O'Briain
164,Jack Dee
162,Sue Perkins
159,Keith Lemon
157,Bill Bailey
143,Holly Willoughby
142,Linda Smith
141,Hugh Dennis
133,Fearne Cotton
132,Jon Richardson
122,Andy Parsons
110,Rufus Hound
107,Lee Mack
105,Sheila Hancock
104,Fred MacAulay
104,Rob Brydon
98,Marcus Brigstocke
97,Susan Calman
97,Graham Norton
96,Vic Reeves
96,Gyles Brandreth
92,Miles Jupp
90,Jo Brand
88,Sean Hughes
87,Bob Mortimer
85,Noel Fielding
81,Chris Addison
78,Frankie Boyle
78,Ulrika Jonsson
78,Ross Noble
75,Jason Manford
74,Mark Steel
69,Clive Anderson
66,Joe Wilkinson
64,Russell Howard
62,Julian Clary
62,Matt Lucas
61,Rachel Riley
61,Johnny Vegas
60,Jenny Eclair
59,John Sergeant
59,Ed Byrne
54,Victoria Coren Mitchell
54,Andree Melly
52,Sarah Millican
51,Susie Dent
50,Liza Tarbuck
49,Tim Rice
48,Josh Widdicombe
48,Rhod Gilbert
47,Sean Locke
47,Seann Walsh
43,Katherine Ryan
43,Holly Walsh
42,Danielle Ward
42,Simon Amstell
42,Lucy Porter
41,Henning Wehn
40,Kit Hesketh-Harvey
39,Rich Hall
39,Nick Grimshaw
39,Jack Whitehall
38,Gino D'Acampo
38,Alun Cochrane
38,John Wells
38,Chris Ramsey
37,Rob Beckett
37,David Baddiel
36,Dave Spikey
36,Armando Iannucci
34,Aimi Macdonald
34,David O'Doherty
33,Arthur Smith
33,Mark Watson
33,Wendy Richard
33,Melvin O'Doom
33,Dave Gorman
33,Rochelle Humes
33,Milton Jones
33,Jonathan Ross
32,Hugo Rifkind
32,Romesh Ranganathan
32,Roisin Conaty
31,Will Self
30,Sara Pascoe
29,Shappi Khorsandi
29,Joan Bakewell
29,Stephen Mangan
29,Margaret Cabourn-Smith
28,Barry Norman
28,Alexander Armstrong
28,Reginald D. Hunter
28,Bill Oddie
28,Michael Legge
28,Andrew Maxwell
27,Russell Kane
27,Richard Osman
27,Jeremy Clarkson
27,Chris Neill
26,Claudia Winkleman
26,Michael White
26,Richard Herring
26,Rebecca Front
25,Josie Lawrence
25,Frank Skinner
25,Bill Tidy
24,Roy Hattersley
24,Pam Ayres
23,Greg Davies
23,Micky Flanagan
23,Stan McMurtry
22,Joe Lycett
22,Russell Davies
21,Bob Mills
21,Clement Freud MP
20,Carol Vorderman
20,Rory Bremner
20,Steve Punt
20,Nick Clarke
20,Kevin McHale
20,Janet Street-Porter
20,Dan Renton Skinner
20,Charles Collingwood
19,Steve Frost
19,Carrie Quinlan
19,John Sessions
19,Danny Baker
19,Nigel Dempster
19,Germaine Greer
19,Des Clarke
19,David Taylor
18,Greg Proops
18,Krishnan Guru-Murthy
18,Jo Caulfield
18,John Finnemore
18,Simon Evans
18,Kevin Bridges
18,Chris Stark
18,Geraldine Jones
17,Gillian Reynolds
17,Charlie Brooker
17,Ann Leslie
17,David Walliams
17,Denise Coffey
17,Josie Long
17,James Acaster
16,John O'Farrell
16,Lloyd Langford
16,Aisling Bea
16,Maureen Lipman
16,Michael McIntyre
16,Katy Brand
16,Fred Macaulay
15,Paddy McGuinness
15,Robert Webb
15,Martin Clunes
15,Robin Ince
15,Stewart Francis
15,Gabby Logan
15,Alfred Marks
15,Bridget Christie
15,Samira Ahmed
15,Peter Serafinowicz
14,Lauren Laverne
14,Ken Livingstone
14,Charles Kennedy
14,Kelly Brook
14,Paul Sinha
14,Sara Cox
14,Kirsty Young
13,Claire Rayner
13,Alex Brooker
13,Justin Moorhouse
13,Peter Cook
13,Gary Delaney
13,Joey Essex
13,Tom Wrigglesworth
13,Elis James
13,Julia Hartley-Brewer
13,Zoe Lyons
13,Stacey Solomon
13,Andrew Rawnsley
13,Clive James
12,Patrick Kielty
12,Example
12,Patrick Moore
12,Eamonn Holmes
12,Will Smith
12,Lorraine Kelly
12,Rick Wakeman
12,Mel Giedroyc
12,Jamelia
12,Alan Carr
12,Adam Hills
12,Louis Walsh
11,Victoria Wood
11,Isy Suttie
11,Maria McErlane
11,Caroline Flack
11,Richard Ayoade
11,Charlie Higson
11,Bel Mooney
11,Dom Joly
11,Adam Buxton
11,Vernon Kay
11,John Junkin
10,Neil Mullarkey
10,Jonathan King
10,Miranda Hart
10,Tony Slattery
10,Professor Green
10,Kevin Day
10,Danny Dyer
10,Alex Horne
10,Paul Foot
10,James Corden
10,Denise Van Outen
10,Angela Rippon
10,Jan Ravens
10,Kevin Eldon
10,Nick Helm
10,Louie Spence
10,Fi Glover
10,Eddie Izzard
10,John Bishop
9,Fern Britton
9,Omid Djalili
9,Tony Law
9,Davina McCall
9,Paloma Faith
9,Olly Murs
9,Matthew Parris
9,Peter Bradshaw
9,Myleene Klass
9,Ronni Ancona
9,Keir McAllister
9,Boris Johnson
9,Dermot O'Leary
9,Dave Berry
9,Melanie Chisholm
9,Lucy Beaumont
9,Ian McMillan
9,Tony Banks
9,Tess Daly
9,Gina Yashere
9,Kathy Burke
9,John Oliver
9,Kate Adie
8,Richard Madeley
8,John Cleese
8,Ben Miller
8,Julia Langdon
8,Hal Cruttenden
8,Jeff Green
8,Martin Young
8,Janey Godley
8,Libby Purves
8,Rickie Haywood Williams
8,Mark Stein
8,Simon Jenkins
8,Richard Murdoch
8,June Sarpong
8,Hunter Davies
8,Ed Gamble
8,Trisha Goddard
8,Gay Search
8,Aston Merrygold
8,Richard Coles
8,Katharine Whitehorn
8,Jo Kendall
8,Russell Brand
8,Kirsty Wark
8,Griff Rhys Jones
8,Bobby Mair
8,Pauline McLynn
7,Michael Bywater
7,Vanessa Feltz
7,Melanie Brown
7,Nathan Caton
7,Alex Jones
7,Richard Fairbrass
7,Valerie Grove
7,Stephen K. Amos
7,Alex Zane
7,Sue Cook
7,Richard Bacon
7,Clare Balding
7,Rick Edwards
7,Alexei Sayle
7,Peter Andre
7,Joe Swash
7,Rylan Clark
7,Justin Edwards
7,Ricky Wilson
7,Rory McGrath
7,Kimberly Wyatt
7,Emma Bunton
7,Penny Smith
7,Chris Moyles
7,Jason Byrne
7,Harry Judd
7,Nick Revell
7,Dr. Phil Hammond
7,Matthew Crosby
7,Lance Percival
7,Ellie Taylor
7,Miles Kington
7,Danny Jones
7,Ava Vidal
7,Camilla Long
7,Tim Minchin
7,Kelly Osbourne
7,Stuart Maconie
7,Tinchy Stryder
7,Al Murray
7,Andy Zaltzman
6,Dappy
6,Angela Barnes
6,Alex James
6,Louise Redknapp
6,Rachael Heyhoe-Flint
6,Christian Jessen
6,Matt Forde
6,Mark Nelson
6,Neil Morrissey
6,Kym Marsh
6,Meera Syal
6,Nick Robinson
6,Stuart Mitchell
6,Janet Brown
6,Harry Hill
6,Andi Osho
6,Scott Mills
6,Gok Wan
6,Stewart Lee
6,Tony Wright
6,Martin Jarvis
6,Marvin Humes
6,Kate Garraway
6,Lethal Bizzle
6,Damian Lewis
6,Scott Capurro
6,Jessica Hynes
6,Tim Vine
6,Humphrey Ker
6,Jarred Christmas
6,Sanjeev Bhaskar
6,Jean Marsh
6,Antony Cotton
6,Michael Ball
6,Jackie Clune
6,Jane Thynne
6,Johnny Vaughan
5,Diane Morgan
5,Nish Kumar
5,Laura Whitmore
