Episode,Date,Guests (Himself/Herself - Role)
11x00,2014-02-20,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Ant McPartlan (Himself);Declan Donnelly (Himself);Ashley Roberts (Herself);Rob Beckett (Himself)
11x01,2014-05-15,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Jason Gardiner (Himself);Pixie Lott (Herself);Lee Ryan (Himself);Kian Egan (Himself)
11x02,2014-05-15,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Paloma Faith (Herself);Ronan Keating (Himself);Mark Wright (Himself);Martine McCutcheon (Herself)
11x03,2014-03-27,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Ben Adams (Himself);Jade Jones (Herself);Andrez Harriott (Himself);Easther Bennett (Herself);Vernie Bennett (Herself);Adam Rickitt (Himself);Dane Bowers (Himself);Kavana (Himself);Kenzie (Himself)
11x04,2014-04-03,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Joe Swash (Himself);Sam Bailey (Herself);Alex Brooker (Himself);Tom Daley (Himself)
11x05,2014-04-10,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Ollie Locke (Himself);John Newman (Himself);Matthew Wolfenden (Himself);Keith Duffy (Himself)
11x06,2014-04-17,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Lethal Bizzle (Himself);Laura Whitmore (Herself);Chris Ramsey (Himself);Jamie Laing (Himself)
11x07,2014-04-24,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Matthew Wright (Himself);Jameela Jamil (Herself);Paddy McGuinness (Himself);Antony Cotton (Himself)
11x08,2014-05-01,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Katy B (Herself);Rylan Clark (Himself);Caroline Flack (Herself);Gino D'Acampo (Himself)
11x09,2014-05-08,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Richard Rawson (Himself);Ricky Wilson (Himself);Charlotte Crosby (Herself);Chris Ramsey (Himself)
11x10,2014-05-15,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Davina McCall (Herself);Joey Essex (Himself);Natalie Cassidy (Herself);Michelle Keegan (Herself)
12x01,2014-09-11,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Alex Brooker (Himself);Tess Daly (Herself);Jack P. Shepherd (Himself);Arg (Himself)
12x02,2014-09-18,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Gabby Logan (Herself);columnist Katie Hopkins (Herself);James Jordan (Himself);Chris Ramsey (Himself)
12x03,2014-09-25,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Lauren Goodger (Herself);Dynamo (Himself);Eamonn Holmes (Himself);Alex James (Himself)
12x04,2014-10-02,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Chloe Sims (Herself);Johnny Vegas (Himself);David Dickinson (Himself);Alison Hammond (Herself)
12x05,2014-10-09,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Louis Walsh (Himself);Mel B (Herself);Emma Bunton (Herself);Tulisa Contostavlos (Herself);Sarah-Jane Crawford (Herself)
12x06,2014-10-16,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Les Dennis (Himself);Joe Swash (Himself);Melanie Sykes (Herself);Samia Ghadie (Herself)
12x07,2014-10-23,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Dave Myers (Himself);Simon King (Himself); Craig Revel Horwood (Himself);Chloe Jasmine (Herself);Charlotte Crosby (Herself)
12x08,2014-10-30,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Jimmy Carr (Himself);Chris Ramsey (Himself);Richard Hammond (Himself);Jessie J (Herself)
12x09,2014-11-06,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Tom Fletcher (Himself);Danny Jones (Himself);Dougie Poynter (Himself);Harry Judd (Himself);James Bourne (Himself);Matt Willis (Himself)
12x10,2014-11-13,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Ruth Langsford (Herself);Phillip Schofield (Himself);Peter Andre (Himself);Olly Murs (Himself)
12x11,2014-12-11,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Susanna Reid (Herself);Paddy McGuinness (Himself);Professor Green (Himself);Joey Essex (Himself)
13x01,2015-04-09,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Jimmy Carr (Himself);Caroline Flack (Herself);Joey Essex (Himself)
13x02,2015-03-26,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Johnny Vegas (Himself);Dappy (Himself);Ashley Roberts (Himself)
13x03,2015-04-02,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Gino D'Acampo (Himself);Will Mellor (Himself);Rylan Clark (Himself);Kevin McHale (Himself)
13x04,2015-04-09,Leigh Francis (Keith Lemon - Host);Fearne Cotton (Herself - Team Captain);Gino D'Acampo (Himself - Team Captain);Dave Berry (Himself);Lisa Snowdon (Herself)
