Athena Kugblenu	http://www.athenakugblenu.co.uk/	https://twitter.com/athenakugblenu
Jay Lafferty		https://twitter.com/jayjaylaffs
Josie Lawrence		https://twitter.com/josielawrence1
Laura Lexx	http://lauralexx.blogspot.co.uk/	https://twitter.com/lauralexx
Ria Lina	http://rialina.com/	https://twitter.com/EttieBoo
Cariad Lloyd	http://cariadlloyd.com/	https://twitter.com/ladycariad
Josie Long	http://www.josielong.com/	https://twitter.com/JosieLong
Nat Luurtsema	http://www.natluurtsema.com/	https://twitter.com/natluurtsema
Elf Lyons	http://www.theelflyons.com/	https://twitter.com/elf_lyons
Zoe Lyons	http://www.zoelyons.co.uk/	https://twitter.com/zoelyons
Kate Lucas	https://www.facebook.com/pages/Kate-Lucas-Comedian/172206189515517?sk=wall	https://twitter.com/lateylucas
Joanna Lumley	http://www.imdb.com/name/nm0525921/	
Doon Mackichan	http://www.imdb.com/name/nm0533489/	
Gr&aacute;inne Maguire	http://www.grainnemaguire.com/	https://twitter.com/GrainneMaguire
Niamh Marron	http://niamhmarron.com/	https://twitter.com/niamhmarron1
Mae Martin	http://maemartin.co/	https://twitter.com/TheMaeMartin
Francesca Martinez		
Rose Matafeo		https://twitter.com/Rose_Matafeo
Grainne McKeever		https://twitter.com/grainnemckeever
Juliet Meyers		https://twitter.com/julietmeyers
Sarah Millican	http://www.sarahmillican.co.uk/	https://twitter.com/SarahMillican75
Shazia Mirza	http://www.shazia-mirza.com/	https://twitter.com/shaziamirza1
Evelyn Mok	http://www.evelynmok.com/	https://twitter.com/EvelynMok
Lucy Montgomery		
Diane Morgan		https://twitter.com/missdianemorgan
Sarah Morgan	http://www.unitedagents.co.uk/sarah-morgan	
Anna Morris	http://annamorris.co.uk/	https://twitter.com/annamorriscomic
Katie Mulgrew	http://katiemulgrew.wordpress.com/	https://twitter.com/katiemulg
Susan Murray	http://www.susan-murray.co.uk/	https://twitter.com/ThatSusanMurray
Cerys Nelmes	http://www.cerysnelmes.com/	https://twitter.com/cerysnelmes
Luisa Omielan	http://www.iloveluisa.com/	https://twitter.com/luisaomielan
Andi Osho	http://www.andiosho.co.uk/	https://twitter.com/andiosho
Celia Pacquola	http://token.com.au/celiapacquola	https://twitter.com/CeliaPacquola
Katherine Parkinson		
Rachel Parris	http://www.rachelparris.com/	https://twitter.com/iamrachelparris
Sara Pascoe	http://www.sarapascoe.com/	https://twitter.com/sarapascoe
Sue Perkins		https://twitter.com/sueperkins
Sally Phillips	http://www.imdb.com/name/nm0680766/	
Lucy Porter	http://www.lucyporter.co.uk/	https://twitter.com/loonabimberton
Caroline Quentin	http://www.imdb.com/name/nm0703225/	
Carrie Quinlan	http://www.carriequinlan.com/	https://twitter.com/quinlan_carrie/
Jan Ravens	http://janravens.com/	https://twitter.com/janravens
Caroline Reid		
Abi Roberts	http://www.abiroberts.com/	https://twitter.com/abiroberts
Morgana Robinson		
Suzi Ruffell	http://www.suziruffell.co.uk/	https://twitter.com/suziruffell
Katherine Ryan	http://www.katherineryan.co.uk/	https://twitter.com/Kathbum
Lou Sanders	http://lousanders.com/	https://twitter.com/LouSanders
Jennifer Saunders	http://www.imdb.com/name/nm0766837/	https://twitter.com/ferrifrump
Julia Sawalha	http://www.imdb.com/name/nm0768018/	
Katie Schutte	http://www.katyschutte.co.uk/	https://twitter.com/katyschutte
Carly Smallman	http://www.carlysmallman.com/	https://twitter.com/carlysmallman
Jojo Smith	http://www.jojosmith.com/	https://twitter.com/MissJoJoSmith
Katie Smurthwaite	http://www.katesmurthwaite.co.uk/	https://twitter.com/Cruella1
Laura Solon		https://twitter.com/laurasolon
Diane Spencer	http://www.difunny.com/	https://twitter.com/dianespencerfun
Alison Spittle	http://alisonspittle.com/	https://twitter.com/AlisonSpittle
Debra Stephenson	http://www.imdb.com/name/nm0827228/	
Pamela Stephenson	http://www.imdb.com/name/nm0827298/	
Vikki Stone	http://www.vikkistone.com/	https://twitter.com/vikkistone
Ashley Storrie	https://www.youtube.com/channel/UC2o924iH-mzIHsGqZ8-rNAw	https://twitter.com/ashleystorrie
Rachel Stubbings	http://rachelstubbings.com/	https://twitter.com/RachelStubbings
Isy Suttie	http://isysuttie.com/	https://twitter.com/Isysuttie
Meera Syal	http://www.imdb.com/name/nm0842934/	
Catherine Tate	http://www.imdb.com/name/nm0851113/	
Ellie Taylor	http://www.ellietaylorcomedy.com/	https://twitter.com/EllieJaneTaylor
Eleanor Tiernan	http://www.eleanortiernan.com/	https://twitter.com/eleanortiernan
Sandi Toksvig	http://sanditoksvig.com/	
Lucy Trodd	http://www.curtisbrown.co.uk/	https://twitter.com/TroddenBratt
Ava Vidal	http://www.avavidal.co.uk/	https://twitter.com/AvaVidal
Katerina Vrana	http://www.katerinavrana.com/	https://twitter.com/Vranarama
Beth Vyse	http://www.bethvyse.com/	https://twitter.com/BethVyse
Phoebe Waller-Bridge		
Holly Walsh	http://www.hollywalsh.co.uk/	https://twitter.com/wiggywalsh
Danielle Ward	http://danielleward.co.uk/	https://twitter.com/captainward
Felicity Ward	http://www.felicityward.com/	https://twitter.com/felicityward
Hannah Warman		https://twitter.com/hannahwarman
Wendy Wason	http://www.wendywason.co.uk/	https://twitter.com/Wendy_Wason
Arabella Weir	http://www.imdb.com/name/nm0918572/	
Gemma Whelan		
June Whitfield	http://www.imdb.com/name/nm0925930/	
Rosie Wilby	http://www.rosiewilby.com/	https://twitter.com/rosiewilby
Catie Wilkins	http://catiewilkins.com/	https://twitter.com/Catiewilkins
Claudia Winkleman		https://twitter.com/ClaudiaWinkle
Dotty Winters	http://dottywinters.com/	https://twitter.com/DottyWinters
Katy Wix		
Gina Yashere	http://ginayashere.com/	https://twitter.com/ginayashere
