Episode,Date,Guests (Himself/Herself - Role)
3x08,2010-10-05,Katy Brand (Herself);Chris Addison (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
3x09,2010-10-12,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Stephen K. Amos (Himself);Jack Whitehall (Himself)
3x10,2010-10-19,Ben Miller (Himself);Sean Lock (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
3x11,2010-10-26,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Richard Herring (Himself);Stephen Mangan (Himself)
3x12,2010-11-02,Sarah Millican (Herself);Sean Lock (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
4x01,2011-11-03,Russell Kane (Himself);Jimmy Carr (Himself);Robert Webb (Himself - Team Captain);Seann Walsh (Himself - Team Captain);Sean Lock (Himself - Host)
4x02,2011-11-10,Sean Lock (Himself - Host);Seann Walsh (Himself - Team Captain);Robert Webb (Himself - Team Captain);Chris Ramsey (Himself);Jack Whitehall (Himself)
4x03,2011-11-17,Andrew Maxwell (Himself);Daniel Sloss (Himself);Robert Webb (Himself - Team Captain);Seann Walsh (Himself - Team Captain);Sean Lock (Himself - Host)
4x04,2011-11-24,Sean Lock (Himself - Host);Seann Walsh (Himself - Team Captain);Robert Webb (Himself - Team Captain);Jimmy Carr (Himself);Miles Jupp (Himself)
4x05,2011-12-01,Jo Brand (Herself);Stephen K. Amos (Himself);Robert Webb (Himself - Team Captain);Seann Walsh (Himself - Team Captain);Sean Lock (Himself - Host)
4x06,2011-12-08,Ardal O'Hanlon (Himself);Richard Herring (Himself);Robert Webb (Himself - Team Captain);Seann Walsh (Himself - Team Captain);Sean Lock (Himself - Host)
4x07,2011-12-15,Tim Vine (Himself);Stephen Mangan (Himself);Robert Webb (Himself - Team Captain);Seann Walsh (Himself - Team Captain);Sean Lock (Himself - Host)
4x08,2011-12-22,Sean Lock (Himself - Host);Seann Walsh (Himself - Team Captain);Robert Webb (Himself - Team Captain);Jason Manford (Himself);Micky Flanagan (Himself)
