Episode,Date,Guests (Himself/Herself - Role)
1x01,2015-05-07,Holly Walsh (Herself - Host);Clive Anderson (Himself);Sarah Millican (Herself);Joe Lycett (Himself)
1x02,2015-05-14,Holly Walsh (Herself - Host);Mark Steel (Himself);Isy Suttie (Herself);Tom Allen (Himself)
1x03,2015-05-21,Holly Walsh (Herself - Host);Richard Herring (Himself);Helen Zaltzman (Herself);Lloyd Langford (Himself)
1x04,2015-05-28,Holly Walsh (Herself - Host);Sarah Pascoe (Herself);Romesh Ranganathan (Himself);Richard Herring (Himself)
1x05,2015-06-04,Holly Walsh (Herself - Host);Sarah Kendall (Herself);Justin Edwards (Himself);Phil Wang (Himself)
1x06,2015-06-11,Holly Walsh (Herself - Host);Sarah Millican (Herself);Rob Beckett (Himself);Katherine Ryan (Herself)
