Episode,Date,Guests (Himself/Herself - Role)
3x01,2014-04-08,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);whma9vcq:Nev Wilshire (Himself);m5gihwar:Ed Gamble (Himself);c26v5h9k:Katherine Ryan (Herself);d5k93z5f:Alexa Chung (Herself);,
3x02,2014-04-15,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);irb24wlu:Tom Rosenthal (Himself);5v9eug6z:Khali Best (Himself);k8rrlj2r:Gareth Malone (Himself);45nd42d5:Roisin Conaty (Herself);,
3x03,2014-04-22,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);qqzzr2ja:Brad Simpson (Himself);nggrfceq:James McVey (Himself);xlfikdcz:Holly Walsh (Herself);an7sb5fe:Abbey Clancy (Herself);ti73iunt:Lloyd Griffith (Himself);,
3x04,2014-04-29,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);4tapr6wn:Gemma Whelan (Herself);m2k80giu:Scott Mills (Himself);d8wr0pxe:Daisy Lowe (Herself);du20ea69:Seann Walsh (Himself);,
3x05,2014-05-06,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);a3ehe76f:Foxes (Herself);0qb7ja28:Bobby Mair (Himself);4r04kudi:Yasmine Akram (Herself);ksmusoei:Marvin Humes (Himself);,
3x06,2014-05-13,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);9k7t0g06:Example (Himself);9k3xrhyo:Romesh Ranganathan (Himself);kn84ys1v:Elis James (Himself);9whk0ljh:Rita Ora (Herself);,
3x07,2014-05-20,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);1vem5ucx:Fearne Cotton (Herself);x06ndrsl:Nick Helm (Himself);pkku2rhq:Tyger Drew-Honey (Himself);z7kyp79h:Rhys James (Himself);,
3x08,2014-05-27,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);wq35ocl2:David Haye (Himself);rwxhc32a:Joe Lycett (Himself);ujhhsr2p:Tamara Ecclestone (Herself);rch55ua7:David Morgan (Himself);,
4x01,2014-10-30,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);9t9u6aoh:Ivo Graham (Himself);uj9wlhra:Jack Osborne (Himself);8osc35ur:Alex Brooker (Himself);pbol426x:Ella Eyre (Herself);,
4x02,2014-11-05,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);5rc3m6ae:Lacey Turner (Herself);jzw2u6u6:Ellie Taylor (Herself);6xn2qy4f:Alex James (Himself);z7kyp79h:Rhys James (Himself);,
4x03,2014-11-12,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);sy2sdgn0:Dane Baptiste (Himself);1rtqz52s:Russell Kane (Himself);9k3xrhyo:Romesh Ranganathan (Himself);i0ufm9pu:Kimberly Wyatt (Herself);,
4x04,2014-11-19,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);3l1qtw2v:Stacey Solomon (Herself);4o4fitjx:Sam Simmons (Himself);m5gihwar:Ed Gamble (Himself);m3shyx7u:Jake Roche (Rixton - Himself);ssvrujqb:Danny Wilkin (Rixton - Himself);,
4x05,2014-11-26,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);mkuo9ika:James Acaster (Himself);n99w5ryl:Ashley Walters (Himself);s1i29exq:Iain Stirling (Himself);sk19moz7:Maisie Williams (Herself);,
4x06,2014-12-03,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);du20ea69:Seann Walsh (Himself);kjcbcfl7:Tulisa (Herself);2wlzp3mz:Professor Green (Himself);tmgqbgi7:Tash Demetriou (Herself);,
4x07,2014-12-10,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);qgrnxaop:Dr Christian Jessen (Himself);j4gtc0kx:George Shelley (Himself);0j645rx3:Jaymi Hensley (Himself);c26v5h9k:Katherine Ryan (Herself);ewwqjcle:Nish Kumar (Himself);,
4x08,2014-12-17,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);12ao3g9k:Ricky Wilson (Himself);0qb7ja28:Bobby Mair (Himself);xd976g6t:Pixie Lott (Herself);5c44y6fb:Chris Ramsey (Himself);,
