Episode,Date,Guests (Himself/Herself - Role),References
4x07,1989-05-18,6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);1s5ocnkr:Patrick Hannan (Himself - Host);3rdwdvc7:Gordon Clough (Himself);6b4aofxq:Andrew Rawnsley (Himself);,
5x01,1990-01-03,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
5x02,1990-01-10,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
5x03,1990-01-17,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
5x04,1990-01-24,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
5x05,1990-01-31,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
5x06,1990-02-07,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
6x01,1990-04-09,6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);1s5ocnkr:Patrick Hannan (Himself - Host);uoz7sa5j:Martin Young (Himself);bus9aqwf:Ed Pearce (Himself);,
6x02,1990-04-10,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);8zqe3f8c:Charles Kennedy MP (Himself);6b4aofxq:Andrew Rawnsley (Himself);,
6x03,1990-04-11,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);16i8gsv8:Vincent Hanna (Himself);6n0qhzrs:Richard Shepherd MP (Himself);,
6x04,1990-04-12,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);og8l7e2v:Tony Banks MP (Himself);1qottrm5:Matthew Parris (Himself);,
6x05,1990-04-16,6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);1s5ocnkr:Patrick Hannan (Himself - Host);3n7uaov8:Julia Langdon (Herself);e1mvrrq8:Sir George Young MP (Himself);,
6x06,1990-04-17,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);73md2qck:Lord Deedes (Himself);2unkphrq:Nick Budgen (Himself);,
7x01,1990-08-01,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);hsz62vhh:Edwina Currie (Herself);ii4d99on:Paul Boateng (Himself);,
7x02,1990-08-08,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);uozovcj1:Edward Pearce (Himself);1qottrm5:Matthew Parris (Himself);,
7x03,1990-08-15,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);hh3bsso3:Ken Livingstone MP (Himself);zwxrm3je:Adam Raphael (Himself);,
7x04,1990-08-22,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);hahgf89a:Michael White (Himself);6b4aofxq:Andrew Rawnsley (Himself);,
7x05,1990-08-29,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);ahl6xwyt:Ron Brown MP (Himself);8zqe3f8c:Charles Kennedy (Himself);,
7x06,1990-09-05,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);uoz7sa5j:Martin Young (Himself);4rhwq363:Trevor MacDonald (Himself);,
8x01,1991-01-23,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
8x02,1991-01-30,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
8x03,1991-02-06,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
8x04,1991-02-13,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
8x05,1991-02-20,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
8x06,1991-02-27,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
9x01,1991-06-04,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
9x02,1991-06-11,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
9x03,1991-06-18,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
9x04,1991-06-25,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
9x05,1991-07-02,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
9x06,1991-07-09,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
