Episode,Date,Guests (Himself/Herself - Role),References
1x01,2016-01-22,Patrick Kielty (Himself - Host);Phill Jupitus (Himself);Lucy Porter (Herself);Paul Sinha (Himself - Team Captain);Susan Calman (Herself - Team Captain),http://www.bbc.co.uk/programmes/b06wyb9l
1x02,2016-01-29,Patrick Kielty (Himself - Host);Paul Sinha (Himself - Team Captain);Susan Calman (Herself - Team Captain);Marcus Brigstocke (Himself);Des Clarke (Himself),http://www.bbc.co.uk/programmes/b06ynws6
1x03,2016-02-05,Patrick Kielty (Himself - Host);Paul Sinha (Himself - Team Captain);Susan Calman (Herself - Team Captain);Rich Hall (Himself);Mark Watson (Himself),http://www.bbc.co.uk/programmes/b06zgqsm
1x04,2016-02-12,Patrick Kielty (Himself - Host);Paul Sinha (Himself - Team Captain);Susan Calman (Herself - Team Captain);Micky Bartlett (Himself);Jarred Christmas (Himself),http://www.bbc.co.uk/programmes/b06zzb1k
