Episode,Date,Guests (Himself/Herself - Role)
1x01,1988-01-02,i4apt8jq:Clive Anderson (Himself - Host);mop8wi6t:John Sessions (Himself);fc3xrxvy:Stephen Fry (Himself);5mrxpurq:Lenny Henry (Himself);re04opkq:Dawn French (Herself);,
1x02,1988-01-09,i4apt8jq:Clive Anderson (Himself - Host);mop8wi6t:John Sessions (Himself);fc3xrxvy:Stephen Fry (Himself);jla1y4bc:Hugh Laurie (Himself);gie5lvsi:Enn Reitel (Himself);,
1x03,1988-01-16,i4apt8jq:Clive Anderson (Himself - Host);mop8wi6t:John Sessions (Himself);fc3xrxvy:Stephen Fry (Himself);7c9qtyew:Jimmy Mulville (Himself);s2akbu2n:Nonny Williams (Herself);,
1x04,1988-01-23,i4apt8jq:Clive Anderson (Himself - Host);mop8wi6t:John Sessions (Himself);fc3xrxvy:Stephen Fry (Himself);6jht67f1:Griff Rhys Jones (Himself);ov85ov21:Kate Robbins (Herself);,
1x05,1988-01-30,i4apt8jq:Clive Anderson (Himself - Host);mop8wi6t:John Sessions (Himself);fc3xrxvy:Stephen Fry (Himself);7c9qtyew:Jimmy Mulville (Himself);8zd41h9x:John Bird (Himself);,
1x06,1988-02-06,i4apt8jq:Clive Anderson (Himself - Host);mop8wi6t:John Sessions (Himself);fc3xrxvy:Stephen Fry (Himself);ft0cp964:Jon Glover (Himself);27y8byz9:Rory Bremner (Himself);,
