Episode,Date,Guests (Himself/Herself - Role),References
3x01,1998-02-27,cgg5lqmj:Jonathan Ross (Himself);44011mza:Andrew Roachford (Himself);6ib1enk4:Donna McPhail (Herself);gaohfg7y:Cerys Matthews (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
3x02,1998-03-06,77hwmqfr:Rick McMurray (Himself);o9l2l0q5:Mani (Himself);1ibi2r7q:Lemmy (Himself);40v18nlb:Richard Fairbrass (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
3x03,1998-03-13,o11sbypg:Tony Wright (Himself);mrkxmhms:Toyah Willcox (Herself);8wdeu4ke:John Moloney (Himself);jzaaeogh:Saul Davis (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
3x04,1998-03-20,rlldarrq:Graham Norton (Himself);m6kisvbm:Louis Eliot (Himself);lhv9t9jg:Keith Duffy (Himself);2f1nzrjr:Zoë Ball (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
3x06,1998-04-03,ujbbx12u:Tom Robinson (Himself);9dthpqjv:Math Priest (Himself);adwy1gkx:Lauren Laverne (Herself);xvxlztf6:Jeff Green (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
3x07,1998-04-17,cgg5lqmj:Jonathan Ross (Himself);zqx8ias0:Mary Ann Hobbs (Herself);xo0s5agn:Justin Currie (Himself);4yfnoz60:Billy Bragg (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
4x01,1998-09-11,y4h3y6yc:Vic Reeves (Himself);v56md8i1:Chris Moyles (Himself);e698hyb6:James Broad (Himself);l2c0axys:Bill Bailey (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
4x02,1998-09-18,o11sbypg:Tony Wright (Himself);z2hsca0r:Bob Mills (Himself);qqvqo2n8:Glen Gregory (Himself);0rpzyncz:Mark 'Bez' Berry (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
4x03,1998-09-25,ujbbx12u:Tom Robinson (Himself);l44f2xsg:Emmy-Kate Montrose (Herself);um67g1sd:Neil Hannon (Himself);lloo47nx:Keith Chegwin (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
4x04,1998-10-02,76pb75u2:Jayne Middlemiss (Herself);z4p6lo52:Ken McAlpine (Himself);flyfb8rf:Sophie Ellis-Bextor (Herself);slt9gwt1:Sean Cullen (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
4x05,1998-10-09,jd6grvys:Jah Wobble (Himself);uh2ef67m:Matthew Marsden (Himself);o9l2l0q5:Mani (Himself);b93y6vnu:Jo Brand (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
4x06,1998-10-16,dvfmpovw:Arthur Smith (Himself);eyxy68yo:Mel Giedroyc (Herself);fbwzn5pi:Jimmy Constable (Himself);u5q8qcts:Mark Chadwick (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
4x07,1998-12-30,7pd88ut6:Rick Wakeman (Himself);feclvbwc:Huey Morgan (Himself);varfhn88:Melanie Chisholm (Herself);8pxya59q:Natalie Appleton (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
5x01,1999-02-12,aiqh21kf:Karen Poole (Herself);bf2hph6f:Simon Le Bon (Himself);bqhmcl4a:Ian Dury (Himself);l3qwywbu:Kathy Burke (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
