Episode,Date,Guests (Himself/Herself - Role),References
3x06,1992-05-22,5b7d718r:Angus Deayton (Himself - Host);yta3thvj:Rory McGrath (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hh3bsso3:Ken Livingstone (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x07,1992-05-29,5b7d718r:Angus Deayton (Himself - Host);8b83ajav:Danny Baker (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);uagw0ee7:Steve Steen (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x08,1992-06-05,5b7d718r:Angus Deayton (Himself - Host);12j1gi9t:Anne Robinson (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);6jht67f1:Griff Rhys Jones (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x09,1992-06-12,5b7d718r:Angus Deayton (Himself - Host);tz7to4m0:Stephen Frost (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ag7z2y9m:Stephanie Calman (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x10,1992-06-19,5b7d718r:Angus Deayton (Himself - Host);mop8wi6t:John Sessions (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);1czc9u31:Trevor McDonald (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x11,1992-06-26,5b7d718r:Angus Deayton (Himself - Host);ig1jm66z:Norman Willis (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);z4aqphno:Cecil Parkinson (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x01,1992-10-16,5b7d718r:Angus Deayton (Himself - Host);mop8wi6t:John Sessions (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);6jht67f1:Griff Rhys Jones (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x02,1992-10-23,5b7d718r:Angus Deayton (Himself - Host);pyqgtpx8:David Baddiel (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);8zqe3f8c:Charles Kennedy (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x03,1992-10-30,5b7d718r:Angus Deayton (Himself - Host);8b83ajav:Danny Baker (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);5l9cvlll:Annabel Giles (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x04,1992-11-06,5b7d718r:Angus Deayton (Himself - Host);8bduf8ih:Frank Skinner (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);4dnxhdzq:Jerry Hayes (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x05,1992-11-13,5b7d718r:Angus Deayton (Himself - Host);27y8byz9:Rory Bremner (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hh3bsso3:Ken Livingstone (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x06,1992-11-20,5b7d718r:Angus Deayton (Himself - Host);nch01m5e:Sandi Toksvig (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);32gvimgg:Nick Hancock (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x07,1992-11-27,5b7d718r:Angus Deayton (Himself - Host);pgr1jqw5:Chris Tarrant (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);smrcieap:Meera Syal (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x08,1992-12-04,5b7d718r:Angus Deayton (Himself - Host);b93y6vnu:Jo Brand (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);pfdwt6fw:Neil Kinnock (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x09,1992-12-11,5b7d718r:Angus Deayton (Himself - Host);o21pq7he:Peter Cook (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);p9knpji5:Douglas Adams (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
5x01,1993-04-16,5b7d718r:Angus Deayton (Himself - Host);cgg5lqmj:Jonathan Ross (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);o21pq7he:Peter Cook (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
5x02,1993-04-23,5b7d718r:Angus Deayton (Himself - Host);kmvggavr:Chris Evans (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);gw4h9cf8:Fiona Armstrong (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
5x03,1993-04-30,5b7d718r:Angus Deayton (Himself - Host);8bduf8ih:Frank Skinner (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);w5219u35:Richard Littlejohn (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
5x04,1993-05-07,5b7d718r:Angus Deayton (Himself - Host);hx78468i:Caroline Quentin (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);7ydxhson:Baz Bamigboye (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
5x05,1993-05-14,5b7d718r:Angus Deayton (Himself - Host);smrcieap:Meera Syal (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);wysonzb5:Amanda Platell (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
5x06,1993-05-21,5b7d718r:Angus Deayton (Himself - Host);5cwiwwhl:Mark Thomas (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);l2vtpbmd:David Steel (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
5x07,1993-05-28,5b7d718r:Angus Deayton (Himself - Host);2krdo89a:Alan Coren (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ifo0jg9q:John Simpson (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
5x08,1993-06-04,5b7d718r:Angus Deayton (Himself - Host);ygwbc6f2:Tony Slattery (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);2nl0yc9r:The Rt. Hon. Tub of Lard MP ();3dai14ts:Paul Merton (Himself - Team Captain);,
6x02,1993-11-05,5b7d718r:Angus Deayton (Himself - Host);ltky6r8w:Tony Hawks (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hhduglg9:Roy Hattersley (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
6x03,1993-11-12,5b7d718r:Angus Deayton (Himself - Host);zrst94ti:Alexei Sayle (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);jae5mrc5:Gerald Kaufman (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
6x04,1993-11-19,5b7d718r:Angus Deayton (Himself - Host);b93y6vnu:Jo Brand (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);l85k748u:Frank Bough (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
6x05,1993-11-26,5b7d718r:Angus Deayton (Himself - Host);wppc9jn3:Jimmy Tarbuck (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);khc9qj46:Vitali Vitaliev (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
6x06,1993-12-03,5b7d718r:Angus Deayton (Himself - Host);l3qwywbu:Kathy Burke (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);uoz7sa5j:Martin Young (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
6x07,1993-12-10,5b7d718r:Angus Deayton (Himself - Host);9eryfoe9:Maria McErlane (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);sddqrspm:Jon Snow (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
6x08,1993-12-17,5b7d718r:Angus Deayton (Himself - Host);homuapft:Maureen Lipman (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);tgcw43dv:Lesley Abdela (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
7x01,1994-04-22,5b7d718r:Angus Deayton (Himself - Host);cgg5lqmj:Jonathan Ross (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);t6mx3m6n:Eddie Izzard (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
7x02,1994-04-29,5b7d718r:Angus Deayton (Himself - Host);lpi87usr:Kathy Lette (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);hx78468i:Caroline Quentin (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
7x03,1994-05-06,5b7d718r:Angus Deayton (Himself - Host);i0oci9rv:Bob Monkhouse (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);k0jzn1xr:Francis Wheen (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
7x04,1994-05-13,5b7d718r:Angus Deayton (Himself - Host);goz3ofbt:Jack Dee (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ltky6r8w:Tony Hawks (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
7x05,1994-05-20,5b7d718r:Angus Deayton (Himself - Host);i5uubaby:Hugh Dennis (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);qlkah7m4:John Stalker (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
7x06,1994-05-27,5b7d718r:Angus Deayton (Himself - Host);homuapft:Maureen Lipman (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);7r9mq6up:Rhodes Boyson (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
7x07,1994-06-03,5b7d718r:Angus Deayton (Himself - Host);7bsa04wv:Mariella Frostrup (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);pfdwt6fw:Neil Kinnock (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
7x08,1994-06-10,5b7d718r:Angus Deayton (Himself - Host);6ib1enk4:Donna McPhail (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);123a9d2j:Salman Rushdie (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
8x01,1994-10-28,5b7d718r:Angus Deayton (Himself - Host);92eoqkw9:Martin Clunes (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);pdul1s2n:James Pickles (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
8x02,1994-11-04,5b7d718r:Angus Deayton (Himself - Host);dvfmpovw:Arthur Smith (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ejy4jt39:Richard Coles (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,http://genome.ch.bbc.co.uk/671f36c47d424011a4ce8a902c52f909
8x03,1994-11-11,5b7d718r:Angus Deayton (Himself - Host);mweb58qf:Lee Hurst (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);bavdh4wj:Andrew Morton (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
8x04,1994-11-18,5b7d718r:Angus Deayton (Himself - Host);32gvimgg:Nick Hancock (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);zid76gy0:David Icke (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
8x05,1994-11-25,5b7d718r:Angus Deayton (Himself - Host);f2m27b61:Helen Atkinson-Wood (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);clkkbknj:Teddy Taylor (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
8x06,1994-12-02,5b7d718r:Angus Deayton (Himself - Host);rji3yu5x:Hattie Hayridge (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);srnjzwhz:Glenda Jackson (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
8x07,1994-12-09,5b7d718r:Angus Deayton (Himself - Host);9ldflfdo:Jack Docherty (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);a093bghx:Moray Hunter (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
