Episode,Date,Guests (Himself/Herself - Role)
1x20,2005-06-22,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);u1jzzdo1:Ella Hooper (Herself);ohcox43b:Andy Lee (Himself);g9lew0ee:Jud Arthur (Himself);2x3005z3:Frank Woodley (Himself);,
1x21,2005-06-29,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);bcm0xyvu:Reg Mombassa (Himself);vgq61quo:Rob Guest (Himself);me1djtrk:Colin Lane (Himself);5l9x5lyu:Emily Taheny (Herself);,
1x22,2005-07-06,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);3qvg6ik6:Guy Noble (Himself);z013vflf:Cal Wilson (Herself);mf7n58d4:Chris Cheney (Himself);pis76ssm:Dave O'Neil (Himself);,
1x23,2005-07-13,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);i72rggvu:Shane Bourne (Himself);18di72lr:Jimmy Barnes (Himself);ehazr087:Maya Jupiter (Herself);1s3haluy:Scott Edgar (Himself);,
1x24,2005-07-20,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);cgkce9eq:Renee Geyer (Herself);w7eajh5g:Rusty Berther (Himself);m26f4kmj:Normie Rowe (Himself);jv4w409s:Hamish Blake (Himself);,
1x25,2005-07-27,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);up7blc2y:Brooke Fraser (Herself);8bo7uc6m:Adam Rozenbachs (Himself);1odhk9ia:James Morrison (Himself);2x3005z3:Frank Woodley (Himself);,
1x26,2005-08-03,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);t5nxwba2:Richard Gill (Himself);z013vflf:Cal Wilson (Herself);u182mp6m:Liam Finn (Himself);p12hqw4x:Greg Fleet (Himself);,
1x27,2005-08-10,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);i1ejoqvo:Ali McGregor (Herself);jv4w409s:Hamish Blake (Himself);ndn7up43:Courtney Murphy (Herself);xo7hwa84:Carlotta (Herself);,
1x28,2005-08-17,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);3khv17zk:Katie Melua (Herself);60s1obv7:Marty Rhone (Himself);2x3005z3:Frank Woodley (Himself);1s3haluy:Scott Edgar (Himself);,
1x29,2005-08-24,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);b6qa9ttg:Murray Cook (Himself);w4hl5ade:Simon Tedeschi (Himself);rspdd722:Denise Scott (Herself);ohcox43b:Andy Lee (Himself);,
1x30,2005-08-31,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);qukh1s8w:Terri Psiakis (Herself);kyh1juoj:Kram (Himself);rzed1efw:Rhonda Burchmore (Herself);i72rggvu:Shane Bourne (Himself);,
1x31,2005-09-07,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);wtzft1x0:Ross Noble (Himself);gdiwfn7g:Tim Ross (Himself);j64bog9e:Clare Bowditch (Herself);q4or20cp:Jane Scali (Herself);,
1x32,2005-09-14,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);tuvul3ie:Richard Frankland (Himself);u1jzzdo1:Ella Hooper (Herself);5e0zqat9:Gavin Wood (Himself);me1djtrk:Colin Lane (Himself);,
1x33,2005-09-21,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);4obspyey:Wilbur Wilde (Himself);qqqu48ef:Aaron Choulai (Himself);on6o0m4u:Venetta Fields (Herself);wtzft1x0:Ross Noble (Himself);,
1x34,2005-09-28,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);1u5vhf4v:Jade McCrae (Herself);3l9udkdq:Jonathan Biggins (Himself);i7894dtv:Johnny Young (Himself);me1djtrk:Colin Lane (Himself);,
1x35,2005-10-05,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);2zamic2u:Fiona O'Loughlin (Herself);b1gaq5eu:Daryl Braithwaite (Himself);pis76ssm:Dave O'Neil (Himself);58q6bpbo:Harry James Angus (Himself);,
1x36,2005-10-12,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);bvsj6k99:Geraldine Turner (Herself);k90x0hwf:Pete Smith (Himself);pis76ssm:Dave O'Neil (Himself);pv0noeu4:Stu McLeod (Himself);,
1x37,2005-10-19,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);jzdg5d3s:Jenny Morris (Herself);b6qa9ttg:Murray Cook (Himself);w4hl5ade:Simon Tedeschi (Himself);jv4w409s:Hamish Blake (Himself);,
1x38,2005-10-26,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);e4evozmp:Debra Byrne (Herself);ohcox43b:Andy Lee (Himself);lzsxrutg:David Hirschfelder (Himself);2x3005z3:Frank Woodley (Himself);,
1x39,2005-11-02,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);j64bog9e:Clare Bowditch (Herself);8bo7uc6m:Adam Rozenbachs (Himself);jlcgxbzh:Glenn Shorrock (Himself);jv4w409s:Hamish Blake (Himself);,
1x40,2005-11-09,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);g40hapw8:Russell Morris (Himself);1s3haluy:Scott Edgar (Himself);s0w84vcm:Todd McKenney (Himself);u59d9hld:Meshel Laurie (Herself);,
1x41,2005-11-16,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);dcet63zn:Robert Forster (Himself);pis76ssm:Dave O'Neil (Himself);umv172a2:Sharon O'Neill (Herself);me1djtrk:Colin Lane (Himself);,
1x42,2005-12-18,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);jv4w409s:Hamish Blake (Himself);ietq5h64:Belinda Emmett (Herself);1odhk9ia:James Morrison (Himself);apza4ey0:Rove McManus (Himself);,
2x01,2006-02-15,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);jv4w409s:Hamish Blake (Himself);ietq5h64:Belinda Emmett (Herself);1odhk9ia:James Morrison (Himself);apza4ey0:Rove McManus (Himself);,
2x02,2006-02-22,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);bxsfpp94:Kate DeAraugo (Herself);n41jetat:Adam Richard (Himself);ekbpg45o:Peter Brocklehurst (Himself);pis76ssm:Dave O'Neil (Himself);,
2x03,2006-03-01,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);55t7lvnk:Kate Miller-Heidke (Herself);jv4w409s:Hamish Blake (Himself);6rve2och:Tony Sheldon (Himself);wtzft1x0:Ross Noble (Himself);,
2x04,2006-03-08,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);t5nxwba2:Richard Gill (Himself);rkw6ajci:Eddie Perfect (Himself);stb31327:Tony Allen (Himself);2zamic2u:Fiona O'Loughlin (Herself);,
2x05,2006-03-15,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);i1ejoqvo:Ali McGregor (Herself);5c352n6d:Danny Bhoy (Himself);1tmm7a2c:Alex Lloyd (Himself);wtzft1x0:Ross Noble (Himself);,
2x06,2006-03-22,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);qm3maccg:Christine Anu (Herself);n41jetat:Adam Richard (Himself);9skvvyyi:Billy Field (Himself);rspdd722:Denise Scott (Herself);,
2x07,2006-03-29,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);ng0qxqgp:Toni Lamond (Herself);8bo7uc6m:Adam Rozenbachs (Himself);2od0i40t:Pete Murray (Himself);me1djtrk:Colin Lane (Himself);,
2x08,2006-04-05,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);u1jzzdo1:Ella Hooper (Herself);h5snq1al:Grahame Bond (Himself);f2zca1ig:Les Gock (Himself);u59d9hld:Meshel Laurie (Herself);,
2x09,2006-04-12,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);fnsnxo45:Kate Ceberano (Herself);zhs76smg:Michael Chamberlin (Himself);b6qa9ttg:Murray Cook (Himself);wvs9g0y0:Arj Barker (Himself);,
2x10,2006-04-19,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);u1jzzdo1:Ella Hooper (Herself);o7fyqsem:Rich Hall (Himself);60vtkyrk:Daryl Cotton (Himself);pis76ssm:Dave O'Neil (Himself);,
2x11,2006-04-26,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);8w27giak:Beccy Cole (Herself);6egq5ot8:Stephen K. Amos (Himself);915jvcol:Rosario La Spina (Herself);rspdd722:Denise Scott (Herself);,
2x12,2006-05-03,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);lxhks02u:Chloe Dallimore (Herself);inuxyadu:Glen Wool (Himself);lyfgyfgf:David Page (Himself);h3jvd5mj:Jason Byrne (Himself);,
2x13,2006-05-10,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);i1ejoqvo:Ali McGregor (Herself);4ov83rn5:Francis Rossi (Himself);un3lsjd1:Rick Parfitt (Himself);u59d9hld:Meshel Laurie (Herself);,
2x14,2006-05-17,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);ofcm38v8:Lenka Kripac (Herself);6ktvm0v0:Earl Okin (Himself);4j7agay4:Joe Camilleri (Himself);wtzft1x0:Ross Noble (Himself);,
2x15,2006-05-24,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);cqdck11j:Ngaire Joseph (Herself);3qjvvav7:Lulu McClatchy (Herself);1034kewz:Tom Burlinson (Himself);jv4w409s:Hamish Blake (Himself);,
2x16,2006-05-31,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);3a2vlmi5:Yumi Stynes (Herself);4obspyey:Wilbur Wilde (Himself);f1uspr81:Jeff Duff (Himself);pis76ssm:Dave O'Neil (Himself);,
2x17,2006-06-07,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);wtxc0uxg:Jon English (Himself);2zamic2u:Fiona O'Loughlin (Herself);i7jx1b7d:Jon Toogood (Himself);2x3005z3:Frank Woodley (Himself);,
2x18,2006-06-14,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);9uphswvi:Tiffany Speight (Herself);me1djtrk:Colin Lane (Himself);m7c962wm:Stephen Cummings (Himself);rspdd722:Denise Scott (Herself);,
2x19,2006-06-21,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);drbzh6qr:Sarah-Lee Guthrie (Herself);ydn1g3p0:Gary Eck (Himself);cu08bbla:Colin Hay (Himself);jv4w409s:Hamish Blake (Himself);,
2x20,2006-06-28,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);5huiaobk:Lisa McCune (Herself);me1djtrk:Colin Lane (Himself);da711udv:Toby Martin (Himself);u59d9hld:Meshel Laurie (Herself);,
2x21,2006-07-05,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);s3vimelp:Melinda Schneider (Herself);z013vflf:Cal Wilson (Herself);vnztueh2:Leo Sayer (Himself);pis76ssm:Dave O'Neil (Himself);,
2x22,2006-07-12,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);cgkce9eq:Renee Geyer (Herself);4obspyey:Wilbur Wilde (Himself);kj3i2ybk:Molly Meldrum (Herself);fkccgkqt:Mikey Robins (Himself);,
2x23,2006-07-19,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);26zia2sg:Colleen Hewett (Herself);n41jetat:Adam Richard (Himself);ioia8ej6:Justin Burford (Himself);2x3005z3:Frank Woodley (Himself);,
